from_sno,to_sno,from_sna,to_sna,time,quantity
500101001,500101219,捷運科技大樓站,羅斯福路四段113巷19弄口,00:00,2
500101012,500101101,辛亥路一段30號前,捷運六張犁站,00:00,11
500101019,500101110,和平臥龍街口,捷運古亭站(6號出口),00:00,6
500101025,500101024,臺灣科技大學側門,臺灣科技大學正門,00:00,9
500101031,500101120,臺大男七舍前,愛國金山路口,00:00,9
500101034,500101152,臺大動物醫院前,捷運忠孝新生站(3號出口),00:00,6
500101101,500101122,捷運六張犁站,敦化南路二段293巷口南側,00:00,2
500101123,500101250,敦化基隆路口,國立臺北教育大學創意館,00:00,13
500101128,500101025,新生南路一段119巷口,臺灣科技大學側門,00:00,19
500101138,500101194,仁愛安和路口,仁愛路四段122巷口,00:00,1
500101146,500101166,光信公園(光復南路456巷),捷運科技大樓站(台北教育大學),00:00,9
500101210,500101171,敦化南路二段81巷,仁愛延吉街口,00:00,6
500101242,500101150,和平東路三段308巷口,捷運忠孝新生站(4號出口),00:00,12
500101244,500101105,浦城街26巷,和平金山路口,00:00,10
500101247,500101132,捷運忠孝復興站(4號出口),建國濟南路口,00:00,14
500101253,500101188,大安路二段90巷口,辛亥路三段157巷口,00:00,3
500101256,500101151,敦化基隆路口(東北側),大安高工,00:00,9
500101032,500101156,臺大男一舍前,信義建國路口,00:30,6
500101032,500101186,臺大男一舍前,捷運大安站(6號出口),00:30,8
500101033,500101206,臺大男六舍前,捷運大安站(3號出口),00:30,4
500101097,500101098,臥龍樂業街口,臥龍公園,00:30,2
500101097,500101213,臥龍樂業街口,懷生國中,00:30,6
500101231,500101182,大安國小,臺北科技大學(電機工程系),00:30,2
500101248,500101136,和平溫州街口,信義大安路口(信維大樓),00:30,1
500101257,500101241,龍圖公園,敦化信義路口(東南側),00:30,1
500101115,500101210,建國和平路口西北側,敦化南路二段81巷,01:30,1
500101248,500101027,和平溫州街口,臺灣科技大學後門,01:30,1
