from_sno,to_sno,from_sna,to_sna,time,quantity
500103003,500103028,合昌宮,捷運北門站(3號出口),00:00,14
500103003,500103075,合昌宮,玉泉公園(鄭州路),00:00,7
500103006,500103046,樹德公園,民權國中(民權西路),00:00,6
500103019,500103074,民權延平路口(西北側),承德路三段324巷口,00:00,8
500103048,500103026,南京太原路口,捷運民權西路站(2號出口),00:00,9
500103053,500103078,捷運中山站(5號出口),明倫高中,00:00,11
500103058,500103052,樹德公園_1,捷運民權西路站(3號出口),00:00,14
500103065,500103044,大龍市場,大稻埕碼頭,00:00,6
500103069,500103023,民權西路160巷口,大龍峒社會住宅,00:00,3
500103075,500103076,玉泉公園(鄭州路),玉泉公園(忠孝西路),00:00,8
500103008,500103023,臺北孔廟,大龍峒社會住宅,00:30,3
500103020,500103048,民權迪化街口,南京太原路口,00:30,3
500103038,500103047,國順公園,承德民權路口,00:30,1
500103068,500103011,哈密街23巷19弄口,重慶國中,00:30,3
500103009,500103002,捷運圓山站(1號出口),臺北市立圖書館大同分館,09:30,2
