from_sno,to_sno,from_sna,to_sna,time,quantity
500103001,500103009,延平國宅,捷運圓山站(1號出口),00:00,17
500103001,500103025,延平國宅,捷運大橋頭站(1A出口),00:00,10
500103001,500103036,延平國宅,承德路三段8巷口,00:00,10
500103001,500103041,延平國宅,迪化休閒運動公園,00:00,4
500103001,500103044,延平國宅,大稻埕碼頭,00:00,19
500103001,500103052,延平國宅,捷運民權西路站(3號出口),00:00,4
500103001,500103071,延平國宅,承德路二段91巷口,00:00,3
500103001,500103074,延平國宅,承德路三段324巷口,00:00,17
500103002,500103024,臺北市立圖書館大同分館,捷運大橋頭站(2號出口),00:00,17
500103002,500103029,臺北市立圖書館大同分館,朝陽公園,00:00,4
500103002,500103060,臺北市立圖書館大同分館,成淵高中,00:00,9
500103002,500103068,臺北市立圖書館大同分館,哈密街23巷19弄口,00:00,5
500103003,500103006,合昌宮,樹德公園,00:00,4
500103003,500103035,合昌宮,重慶民族路口,00:00,5
500103003,500103050,合昌宮,太原五原路口,00:00,15
500103004,500103001,民族延平路口,延平國宅,00:00,8
500103006,500103004,樹德公園,民族延平路口,00:00,3
500103006,500103033,樹德公園,圓山線形公園,00:00,7
500103006,500103042,樹德公園,大同運動中心,00:00,6
500103007,500103049,陳天來故居,承德民生西路口,00:00,9
500103007,500103072,陳天來故居,酒泉庫倫街口,00:00,4
500103008,500103026,臺北孔廟,捷運民權西路站(2號出口),00:00,14
500103008,500103056,臺北孔廟,大同16號廣場,00:00,7
500103009,500103011,捷運圓山站(1號出口),重慶國中,00:00,20
500103010,500103031,酒泉延平路口,大龍公園,00:00,9
500103012,500103064,重慶北路三段383巷口,大同行政中心,00:00,5
500103013,500103051,台北數位產業園區,臺北轉運站(華陰街),00:00,8
500103013,500103052,台北數位產業園區,捷運民權西路站(3號出口),00:00,20
500103023,500103076,大龍峒社會住宅,玉泉公園(忠孝西路),00:00,9
500103025,500103043,捷運大橋頭站(1A出口),重慶保安街口(家樂福重慶店),00:00,7
500103027,500103055,捷運雙連站(2號出口),承德昌吉街口,00:00,7
500103029,500103022,朝陽公園,大龍老人住宅,00:00,1
500103030,500103037,永樂市場,太原廣場,00:00,11
500103032,500103062,重慶涼州街口,寧夏涼州街口,00:00,4
500103035,500103002,重慶民族路口,臺北市立圖書館大同分館,00:00,15
500103035,500103005,重慶民族路口,重慶酒泉街口,00:00,6
500103035,500103047,重慶民族路口,承德民權路口,00:00,17
500103036,500103030,承德路三段8巷口,永樂市場,00:00,16
500103037,500103007,太原廣場,陳天來故居,00:00,7
500103037,500103012,太原廣場,重慶北路三段383巷口,00:00,7
500103039,500103075,聯合醫院中興院區,玉泉公園(鄭州路),00:00,10
500103040,500103034,蔣渭水紀念公園,圓環站,00:00,9
500103042,500103045,大同運動中心,歸綏戲曲公園,00:00,6
500103049,500103013,承德民生西路口,台北數位產業園區,00:00,5
500103050,500103028,太原五原路口,捷運北門站(3號出口),00:00,20
500103050,500103059,太原五原路口,承德鄭州路口(市民高架下),00:00,8
500103056,500103009,大同16號廣場,捷運圓山站(1號出口),00:00,20
500103056,500103039,大同16號廣場,聯合醫院中興院區,00:00,9
500103058,500103010,樹德公園_1,酒泉延平路口,00:00,11
500103061,500103022,雙蓮國小,大龍老人住宅,00:00,6
500103061,500103048,雙蓮國小,南京太原路口,00:00,13
500103062,500103027,寧夏涼州街口,捷運雙連站(2號出口),00:00,20
500103063,500103069,延平涼州街口,民權西路160巷口,00:00,3
500103064,500103020,大同行政中心,民權迪化街口,00:00,8
500103065,500103058,大龍市場,樹德公園_1,00:00,6
500103068,500103028,哈密街23巷19弄口,捷運北門站(3號出口),00:00,7
500103069,500103054,民權西路160巷口,重慶長安路口,00:00,7
500103071,500103063,承德路二段91巷口,延平涼州街口,00:00,4
500103071,500103073,承德路二段91巷口,民族西大龍街口,00:00,7
500103072,500103078,酒泉庫倫街口,明倫高中,00:00,18
500103074,500103023,承德路三段324巷口,大龍峒社會住宅,00:00,14
500103075,500103046,玉泉公園(鄭州路),民權國中(民權西路),00:00,9
500103076,500103066,玉泉公園(忠孝西路),南京西寧北路口(西北側),00:00,6
500103078,500103040,明倫高中,蔣渭水紀念公園,00:00,4
500103051,500103007,臺北轉運站(華陰街),陳天來故居,05:30,2
500103009,500103038,捷運圓山站(1號出口),國順公園,06:00,5
500103009,500103021,捷運圓山站(1號出口),大稻埕公園,06:30,7
500103011,500103008,重慶國中,臺北孔廟,07:30,4
500103011,500103040,重慶國中,蔣渭水紀念公園,07:30,7
500103027,500103024,捷運雙連站(2號出口),捷運大橋頭站(2號出口),07:30,1
500103052,500103020,捷運民權西路站(3號出口),民權迪化街口,07:30,1
500103030,500103028,永樂市場,捷運北門站(3號出口),09:00,3
500103037,500103045,太原廣場,歸綏戲曲公園,10:30,2
500103033,500103046,圓山線形公園,民權國中(民權西路),11:00,1
500103049,500103047,承德民生西路口,承德民權路口,11:00,1
500103044,500103039,大稻埕碼頭,聯合醫院中興院區,12:00,1
500103007,500103019,陳天來故居,民權延平路口(西北側),13:30,3
500103022,500103019,大龍老人住宅,民權延平路口(西北側),13:30,1
500103029,500103039,朝陽公園,聯合醫院中興院區,15:30,2
500103050,500103011,太原五原路口,重慶國中,15:30,13
500103059,500103011,承德鄭州路口(市民高架下),重慶國中,15:30,3
500103059,500103068,承德鄭州路口(市民高架下),哈密街23巷19弄口,16:00,1
500103063,500103039,延平涼州街口,聯合醫院中興院區,16:00,2
500103020,500103009,民權迪化街口,捷運圓山站(1號出口),18:30,6
500103040,500103009,蔣渭水紀念公園,捷運圓山站(1號出口),18:30,3
500103010,500103049,酒泉延平路口,承德民生西路口,19:30,1
