from_sno,to_sno,from_sna,to_sna,time,quantity
500103001,500103032,延平國宅,重慶涼州街口,00:00,1
500103004,500103022,民族延平路口,大龍老人住宅,00:00,6
500103004,500103047,民族延平路口,承德民權路口,00:00,18
500103005,500103008,重慶酒泉街口,臺北孔廟,00:00,8
500103007,500103053,陳天來故居,捷運中山站(5號出口),00:00,6
500103009,500103010,捷運圓山站(1號出口),酒泉延平路口,00:00,10
500103009,500103035,捷運圓山站(1號出口),重慶民族路口,00:00,7
500103009,500103040,捷運圓山站(1號出口),蔣渭水紀念公園,00:00,11
500103010,500103002,酒泉延平路口,臺北市立圖書館大同分館,00:00,15
500103010,500103025,酒泉延平路口,捷運大橋頭站(1A出口),00:00,6
500103010,500103027,酒泉延平路口,捷運雙連站(2號出口),00:00,17
500103010,500103051,酒泉延平路口,臺北轉運站(華陰街),00:00,8
500103010,500103062,酒泉延平路口,寧夏涼州街口,00:00,4
500103013,500103019,台北數位產業園區,民權延平路口(西北側),00:00,5
500103013,500103037,台北數位產業園區,太原廣場,00:00,10
500103013,500103048,台北數位產業園區,南京太原路口,00:00,13
500103021,500103060,大稻埕公園,成淵高中,00:00,7
500103021,500103066,大稻埕公園,南京西寧北路口(西北側),00:00,5
500103021,500103076,大稻埕公園,玉泉公園(忠孝西路),00:00,9
500103025,500103029,捷運大橋頭站(1A出口),朝陽公園,00:00,1
500103027,500103030,捷運雙連站(2號出口),永樂市場,00:00,16
500103030,500103075,永樂市場,玉泉公園(鄭州路),00:00,10
500103032,500103001,重慶涼州街口,延平國宅,00:00,3
500103033,500103070,圓山線形公園,重慶北路三段205巷口,00:00,2
500103034,500103064,圓環站,大同行政中心,00:00,4
500103034,500103068,圓環站,哈密街23巷19弄口,00:00,5
500103037,500103011,太原廣場,重慶國中,00:00,33
500103038,500103009,國順公園,捷運圓山站(1號出口),00:00,39
500103038,500103013,國順公園,台北數位產業園區,00:00,4
500103039,500103044,聯合醫院中興院區,大稻埕碼頭,00:00,19
500103039,500103059,聯合醫院中興院區,承德鄭州路口(市民高架下),00:00,10
500103040,500103049,蔣渭水紀念公園,承德民生西路口,00:00,8
500103041,500103054,迪化休閒運動公園,重慶長安路口,00:00,8
500103043,500103039,重慶保安街口(家樂福重慶店),聯合醫院中興院區,00:00,9
500103044,500103078,大稻埕碼頭,明倫高中,00:00,14
500103045,500103006,歸綏戲曲公園,樹德公園,00:00,4
500103049,500103033,承德民生西路口,圓山線形公園,00:00,7
500103052,500103023,捷運民權西路站(3號出口),大龍峒社會住宅,00:00,14
500103052,500103056,捷運民權西路站(3號出口),大同16號廣場,00:00,3
500103053,500103073,捷運中山站(5號出口),民族西大龍街口,00:00,5
500103054,500103005,重慶長安路口,重慶酒泉街口,00:00,8
500103054,500103055,重慶長安路口,承德昌吉街口,00:00,7
500103054,500103071,重慶長安路口,承德路二段91巷口,00:00,9
500103055,500103007,承德昌吉街口,陳天來故居,00:00,5
500103055,500103052,承德昌吉街口,捷運民權西路站(3號出口),00:00,24
500103056,500103038,大同16號廣場,國順公園,00:00,4
500103058,500103028,樹德公園_1,捷運北門站(3號出口),00:00,25
500103058,500103041,樹德公園_1,迪化休閒運動公園,00:00,3
500103061,500103031,雙蓮國小,大龍公園,00:00,7
500103062,500103034,寧夏涼州街口,圓環站,00:00,12
500103062,500103065,寧夏涼州街口,大龍市場,00:00,5
500103063,500103058,延平涼州街口,樹德公園_1,00:00,4
500103064,500103046,大同行政中心,民權國中(民權西路),00:00,7
500103065,500103036,大龍市場,承德路三段8巷口,00:00,9
500103066,500103043,南京西寧北路口(西北側),重慶保安街口(家樂福重慶店),00:00,5
500103071,500103004,承德路二段91巷口,民族延平路口,00:00,3
500103071,500103024,承德路二段91巷口,捷運大橋頭站(2號出口),00:00,15
500103072,500103026,酒泉庫倫街口,捷運民權西路站(2號出口),00:00,15
500103072,500103045,酒泉庫倫街口,歸綏戲曲公園,00:00,4
500103073,500103050,民族西大龍街口,太原五原路口,00:00,14
500103073,500103074,民族西大龍街口,承德路三段324巷口,00:00,10
500103074,500103020,承德路三段324巷口,民權迪化街口,00:00,4
500103075,500103021,玉泉公園(鄭州路),大稻埕公園,00:00,8
500103078,500103042,明倫高中,大同運動中心,00:00,6
500103078,500103069,明倫高中,民權西路160巷口,00:00,3
500103009,500103029,捷運圓山站(1號出口),朝陽公園,01:30,1
500103009,500103063,捷運圓山站(1號出口),延平涼州街口,01:30,1
500103046,500103078,民權國中(民權西路),明倫高中,02:30,1
500103013,500103010,台北數位產業園區,酒泉延平路口,03:00,1
500103052,500103036,捷運民權西路站(3號出口),承德路三段8巷口,03:30,1
500103009,500103029,捷運圓山站(1號出口),朝陽公園,04:00,1
500103009,500103030,捷運圓山站(1號出口),永樂市場,04:00,1
500103009,500103032,捷運圓山站(1號出口),重慶涼州街口,04:00,1
500103027,500103007,捷運雙連站(2號出口),陳天來故居,05:30,1
500103027,500103063,捷運雙連站(2號出口),延平涼州街口,05:30,1
500103051,500103072,臺北轉運站(華陰街),酒泉庫倫街口,05:30,1
500103059,500103056,承德鄭州路口(市民高架下),大同16號廣場,05:30,1
500103009,500103001,捷運圓山站(1號出口),延平國宅,06:00,2
500103009,500103003,捷運圓山站(1號出口),合昌宮,06:00,1
500103009,500103006,捷運圓山站(1號出口),樹德公園,06:00,1
500103009,500103038,捷運圓山站(1號出口),國順公園,06:00,2
500103009,500103061,捷運圓山站(1號出口),雙蓮國小,06:00,1
500103009,500103012,捷運圓山站(1號出口),重慶北路三段383巷口,06:30,3
500103009,500103029,捷運圓山站(1號出口),朝陽公園,06:30,1
500103009,500103045,捷運圓山站(1號出口),歸綏戲曲公園,06:30,1
500103011,500103013,重慶國中,台北數位產業園區,06:30,1
500103027,500103056,捷運雙連站(2號出口),大同16號廣場,06:30,1
500103042,500103003,大同運動中心,合昌宮,06:30,1
500103051,500103003,臺北轉運站(華陰街),合昌宮,06:30,1
500103059,500103070,承德鄭州路口(市民高架下),重慶北路三段205巷口,06:30,1
500103009,500103012,捷運圓山站(1號出口),重慶北路三段383巷口,07:00,2
500103009,500103064,捷運圓山站(1號出口),大同行政中心,07:00,1
500103036,500103012,承德路三段8巷口,重慶北路三段383巷口,07:00,1
500103011,500103020,重慶國中,民權迪化街口,07:30,1
500103011,500103031,重慶國中,大龍公園,07:30,1
500103011,500103040,重慶國中,蔣渭水紀念公園,07:30,1
500103011,500103068,重慶國中,哈密街23巷19弄口,07:30,1
500103011,500103072,重慶國中,酒泉庫倫街口,07:30,1
500103011,500103073,重慶國中,民族西大龍街口,07:30,1
