sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500101001,捷運科技大樓站,大安區,00:00,28.0,16.75,11.25
500101002,復興南路二段273號前,大安區,00:00,21.0,13.75,7.0
500101003,國北教大實小東側門,大安區,00:00,28.0,13.5,14.5
500101004,和平公園東側,大安區,00:00,11.0,3.0,8.0
500101005,辛亥復興路口西北側,大安區,00:00,16.0,9.0,6.75
500101006,復興南路二段280號前,大安區,00:00,27.0,20.0,7.0
500101007,復興南路二段340巷口,大安區,00:00,11.0,6.0,5.0
500101008,新生南路三段52號前,大安區,00:00,17.0,5.75,10.5
500101009,新生南路三段66號前,大安區,00:00,16.0,8.5,7.25
500101010,新生南路三段82號前,大安區,00:00,20.0,15.5,3.75
500101012,辛亥路一段30號前,大安區,00:00,8.0,5.25,2.75
500101013,和平復興路口西北側,大安區,00:00,9.0,1.25,7.75
500101014,羅斯福路三段311號前,大安區,00:00,11.0,7.0,4.0
500101015,大安運動中心停車場,大安區,00:00,19.0,11.0,8.0
500101016,羅斯福路三段245號前,大安區,00:00,8.0,6.0,2.0
500101018,溫州公園,大安區,00:00,5.0,2.25,2.75
500101019,和平臥龍街口,大安區,00:00,24.0,7.5,16.5
500101021,銘傳國小側門,大安區,00:00,7.0,5.75,1.0
500101022,捷運公館站(2號出口),大安區,00:00,99.0,68.0,8.75
500101023,第二學生活動中心,大安區,00:00,25.0,12.25,12.5
500101024,臺灣科技大學正門,大安區,00:00,50.0,41.0,9.0
500101025,臺灣科技大學側門,大安區,00:00,99.0,91.75,6.75
500101026,公館公園,大安區,00:00,30.0,9.75,19.75
500101027,臺灣科技大學後門,大安區,00:00,39.0,11.75,27.0
500101028,臺大醫學院附設癌醫中心,大安區,00:00,20.0,16.0,4.0
500101029,臺大環研大樓,大安區,00:00,15.0,9.5,5.5
500101030,臺大永齡生醫工程館,大安區,00:00,34.0,21.5,12.25
500101031,臺大男七舍前,大安區,00:00,20.0,4.0,15.75
500101032,臺大男一舍前,大安區,00:00,61.0,2.25,58.0
500101033,臺大男六舍前,大安區,00:00,40.0,7.25,28.25
500101034,臺大動物醫院前,大安區,00:00,18.0,15.5,2.25
500101035,臺大土木研究大樓前,大安區,00:00,24.0,16.25,7.75
500101036,臺大萬才館前,大安區,00:00,20.0,13.5,6.0
500101037,臺大國青大樓宿舍前,大安區,00:00,20.0,8.75,11.25
500101038,臺大社科院圖書館前,大安區,00:00,27.0,25.75,1.25
500101039,臺大法人語言訓練中心前,大安區,00:00,28.0,23.75,3.75
500101040,臺大綜合體育館停車場前,大安區,00:00,25.0,16.0,9.0
500101041,辛亥新生路口東南側,大安區,00:00,50.0,32.5,17.5
500101042,基隆長興路口東側,大安區,00:00,15.0,7.25,7.5
500101091,國北教大側門南側,大安區,00:00,34.0,15.25,18.75
500101092,和平實小東北側,大安區,00:00,25.0,11.25,13.75
500101093,大安區健康服務中心,大安區,00:00,23.0,21.25,1.75
500101094,辛亥泰順街口,大安區,00:00,20.0,7.25,12.75
500101095,芳和國中,大安區,00:00,37.0,6.25,30.75
500101097,臥龍樂業街口,大安區,00:00,41.0,9.5,31.25
500101098,臥龍公園,大安區,00:00,25.0,13.5,11.5
500101099,嘉興公園,大安區,00:00,44.0,8.0,30.0
500101100,捷運麟光站(2號出口),大安區,00:00,50.0,20.5,29.0
500101101,捷運六張犁站,大安區,00:00,64.0,42.0,22.0
500101102,喬治工商,大安區,00:00,22.0,3.75,18.0
500101103,法治公園,大安區,00:00,29.0,8.75,16.5
500101104,捷運臺電大樓站(2號出口),大安區,00:00,18.0,10.25,7.5
500101105,和平金山路口,大安區,00:00,45.0,26.0,18.75
500101107,和平龍泉街口,大安區,00:00,34.0,15.75,17.25
500101108,和平泰順街口,大安區,00:00,19.0,5.75,12.25
500101109,臺灣師範大學(圖書館),大安區,00:00,40.0,22.75,16.75
500101110,捷運古亭站(6號出口),大安區,00:00,60.0,46.25,13.75
500101113,臺北市立圖書館(總館),大安區,00:00,51.0,15.25,35.75
500101114,新生和平路口東北側,大安區,00:00,51.0,35.5,15.25
500101115,建國和平路口西北側,大安區,00:00,50.0,35.0,15.0
500101116,金華公園,大安區,00:00,44.0,12.75,31.0
500101118,金甌女中,大安區,00:00,15.0,9.75,5.0
500101119,金杭公園,大安區,00:00,20.0,5.75,14.25
500101120,愛國金山路口,大安區,00:00,43.0,39.25,3.5
500101122,敦化南路二段293巷口南側,大安區,00:00,14.0,10.25,3.75
500101123,敦化基隆路口,大安區,00:00,38.0,24.0,13.75
500101124,安和路二段181巷口,大安區,00:00,29.0,19.5,9.25
500101125,臨江街夜市(通化街101巷口),大安區,00:00,30.0,7.0,11.25
500101126,臨江街夜市(基隆路),大安區,00:00,29.0,14.75,14.0
500101127,台北科技大學億光大樓,大安區,00:00,45.0,23.0,22.0
500101128,新生南路一段119巷口,大安區,00:00,33.0,17.5,15.5
500101129,幸安國小(仁愛路),大安區,00:00,28.0,13.0,14.5
500101130,民榮公園,大安區,00:00,15.0,5.0,10.0
500101131,復興南路1段340巷口,大安區,00:00,50.0,39.25,10.75
500101132,建國濟南路口,大安區,00:00,54.0,38.75,14.5
500101133,捷運忠孝復興站(2號出口),大安區,00:00,43.0,36.0,7.0
500101134,捷運大安站(4號出口),大安區,00:00,13.0,11.5,1.5
500101135,捷運大安站(2號出口),大安區,00:00,26.0,22.25,3.5
500101136,信義大安路口(信維大樓),大安區,00:00,18.0,10.25,7.0
500101137,龍門廣場,大安區,00:00,70.0,62.25,6.5
500101138,仁愛安和路口,大安區,00:00,33.0,26.5,6.25
500101139,信義敦化路口,大安區,00:00,52.0,35.25,16.5
500101140,仁愛國中,大安區,00:00,25.0,18.75,6.25
500101141,捷運信義安和站(2號出口),大安區,00:00,24.0,9.0,15.0
500101142,八德市場,大安區,00:00,30.0,8.25,21.5
500101143,昌隆公園,大安區,00:00,16.0,5.0,11.0
500101144,捷運大安森林公園站(2號出口),大安區,00:00,69.0,37.25,26.0
500101145,信義延吉街口,大安區,00:00,15.0,6.25,8.75
500101146,光信公園(光復南路456巷),大安區,00:00,25.0,18.0,6.0
500101147,僑安地下停車場(2號出口)東南側,大安區,00:00,20.0,17.75,1.75
500101148,建國南路一段279巷口,大安區,00:00,32.0,18.25,13.5
500101149,捷運忠孝新生站(6號出口),大安區,00:00,15.0,8.0,7.0
500101150,捷運忠孝新生站(4號出口),大安區,00:00,46.0,41.5,4.5
500101151,大安高工,大安區,00:00,23.0,19.0,4.0
500101152,捷運忠孝新生站(3號出口),大安區,00:00,43.0,35.5,7.0
500101153,瑠公公園,大安區,00:00,20.0,13.5,6.5
500101154,敦化市民路口,大安區,00:00,23.0,10.5,12.5
