sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500103001,延平國宅,大同區,00:00,30.0,5.75,22.75
500103002,臺北市立圖書館大同分館,大同區,00:00,40.0,27.75,11.75
500103003,合昌宮,大同區,00:00,15.0,5.25,9.25
500103004,民族延平路口,大同區,00:00,36.0,6.5,18.75
500103005,重慶酒泉街口,大同區,00:00,44.0,16.5,25.5
500103006,樹德公園,大同區,00:00,14.0,4.5,9.25
500103007,陳天來故居,大同區,00:00,16.0,8.25,7.0
500103008,臺北孔廟,大同區,00:00,37.0,10.0,25.5
500103009,捷運圓山站(1號出口),大同區,00:00,81.0,72.75,7.5
500103010,酒泉延平路口,大同區,00:00,41.0,18.0,23.0
500103011,重慶國中,大同區,00:00,64.0,51.0,12.75
500103012,重慶北路三段383巷口,大同區,00:00,25.0,8.0,16.25
500103013,台北數位產業園區,大同區,00:00,24.0,13.5,10.0
500103019,民權延平路口(西北側),大同區,00:00,20.0,6.0,13.75
500103020,民權迪化街口,大同區,00:00,47.0,7.0,39.25
500103021,大稻埕公園,大同區,00:00,35.0,5.25,29.75
500103022,大龍老人住宅,大同區,00:00,14.0,8.0,6.0
500103023,大龍峒社會住宅,大同區,00:00,34.0,27.5,6.0
500103024,捷運大橋頭站(2號出口),大同區,00:00,57.0,32.25,24.0
500103025,捷運大橋頭站(1A出口),大同區,00:00,30.0,15.5,14.5
500103026,捷運民權西路站(2號出口),大同區,00:00,25.0,24.5,0.5
500103027,捷運雙連站(2號出口),大同區,00:00,41.0,29.75,10.0
500103028,捷運北門站(3號出口),大同區,00:00,62.0,48.25,13.0
500103029,朝陽公園,大同區,00:00,10.0,3.75,6.25
500103030,永樂市場,大同區,00:00,38.0,24.0,13.0
500103031,大龍公園,大同區,00:00,26.0,7.0,18.75
500103032,重慶涼州街口,大同區,00:00,13.0,3.5,8.75
500103033,圓山線形公園,大同區,00:00,26.0,17.5,8.5
500103034,圓環站,大同區,00:00,31.0,16.75,13.0
500103035,重慶民族路口,大同區,00:00,32.0,8.25,22.75
500103036,承德路三段8巷口,大同區,00:00,21.0,15.25,4.75
500103037,太原廣場,大同區,00:00,31.0,19.25,10.5
500103038,國順公園,大同區,00:00,20.0,4.0,15.0
500103039,聯合醫院中興院區,大同區,00:00,40.0,18.75,21.25
500103040,蔣渭水紀念公園,大同區,00:00,36.0,13.5,20.5
500103041,迪化休閒運動公園,大同區,00:00,26.0,14.75,11.25
500103042,大同運動中心,大同區,00:00,16.0,12.25,3.25
500103043,重慶保安街口(家樂福重慶店),大同區,00:00,20.0,7.0,12.25
500103044,大稻埕碼頭,大同區,00:00,52.0,36.25,13.0
500103045,歸綏戲曲公園,大同區,00:00,25.0,8.25,16.75
500103046,民權國中(民權西路),大同區,00:00,25.0,14.75,9.5
500103047,承德民權路口,大同區,00:00,36.0,28.5,7.5
