sno,sna,time,hide,release
500101031,臺大男七舍前,00:00,3,0
500101102,喬治工商,00:00,3,0
500101113,臺北市立圖書館(總館),00:00,2,0
500101190,敦親公園,00:00,3,0
500101240,和平東路二段76巷,00:00,6,0
500101031,臺大男七舍前,00:30,0,1
500101042,基隆長興路口東側,00:30,3,0
500101113,臺北市立圖書館(總館),00:30,5,0
500101240,和平東路二段76巷,00:30,0,2
500101019,和平臥龍街口,01:00,1,0
500101031,臺大男七舍前,01:00,0,1
500101042,基隆長興路口東側,01:00,1,0
500101113,臺北市立圖書館(總館),01:00,0,1
500101190,敦親公園,01:00,1,0
500101236,富陽臥龍街口,01:00,1,0
500101239,古風公園,01:00,1,0
500101190,敦親公園,01:30,1,0
500101240,和平東路二段76巷,02:00,0,2
500101193,基隆長興路口,02:30,4,0
500101210,敦化南路二段81巷,02:30,1,0
500101240,和平東路二段76巷,02:30,2,0
500101113,臺北市立圖書館(總館),03:00,1,0
500101193,基隆長興路口,03:00,2,0
500101102,喬治工商,04:00,0,1
500101113,臺北市立圖書館(總館),04:00,1,0
500101193,基隆長興路口,04:00,1,0
500101113,臺北市立圖書館(總館),04:30,0,1
500101190,敦親公園,04:30,0,1
500101240,和平東路二段76巷,04:30,0,1
500101042,基隆長興路口東側,05:00,0,1
500101190,敦親公園,05:00,0,1
500101113,臺北市立圖書館(總館),05:30,0,1
500101190,敦親公園,05:30,0,1
500101240,和平東路二段76巷,05:30,0,1
500101042,基隆長興路口東側,06:00,0,1
500101102,喬治工商,06:00,0,1
500101113,臺北市立圖書館(總館),06:00,0,2
500101190,敦親公園,06:00,0,1
500101113,臺北市立圖書館(總館),06:30,0,2
500101240,和平東路二段76巷,06:30,0,1
500101042,基隆長興路口東側,07:00,0,1
500101113,臺北市立圖書館(總館),07:00,0,1
500101193,基隆長興路口,07:30,0,1
500101153,瑠公公園,09:00,1,0
500101193,基隆長興路口,09:00,0,3
500101210,敦化南路二段81巷,09:00,7,0
500101193,基隆長興路口,09:30,0,1
500101210,敦化南路二段81巷,09:30,0,4
500101091,國北教大側門南側,10:00,3,0
500101113,臺北市立圖書館(總館),10:00,1,0
500101190,敦親公園,10:00,1,0
500101193,基隆長興路口,10:00,0,1
500101113,臺北市立圖書館(總館),10:30,0,1
500101190,敦親公園,10:30,0,1
500101210,敦化南路二段81巷,10:30,0,2
500101091,國北教大側門南側,11:00,0,1
500101091,國北教大側門南側,11:30,0,1
500101210,敦化南路二段81巷,11:30,0,1
500101029,臺大環研大樓,13:30,1,0
500101040,臺大綜合體育館停車場前,13:30,2,0
500101029,臺大環研大樓,14:00,1,0
500101040,臺大綜合體育館停車場前,14:00,2,0
500101029,臺大環研大樓,15:00,0,1
500101040,臺大綜合體育館停車場前,15:30,1,0
500101040,臺大綜合體育館停車場前,16:30,0,1
500101021,銘傳國小側門,17:00,1,0
500101040,臺大綜合體育館停車場前,17:00,0,2
500101184,新生南路三段94巷口,17:00,3,0
500101040,臺大綜合體育館停車場前,17:30,0,1
500101153,瑠公公園,17:30,1,0
500101153,瑠公公園,18:00,1,0
500101169,捷運信義安和站(4號出口),18:00,6,0
500101184,新生南路三段94巷口,18:00,0,1
500101154,敦化市民路口,18:30,1,0
500101169,捷運信義安和站(4號出口),18:30,0,2
500101184,新生南路三段94巷口,18:30,0,1
500101229,臺灣師範大學(浦城街),18:30,3,0
500101153,瑠公公園,19:00,0,1
500101169,捷運信義安和站(4號出口),19:00,0,2
500101154,敦化市民路口,19:30,1,0
500101259,臺靜農人文會館,19:30,1,0
500101104,捷運臺電大樓站(2號出口),20:00,1,0
500101153,瑠公公園,20:00,0,1
500101154,敦化市民路口,20:00,0,1
500101169,捷運信義安和站(4號出口),20:00,0,1
500101229,臺灣師範大學(浦城街),20:00,0,1
500101104,捷運臺電大樓站(2號出口),20:30,1,0
500101216,和平東路二段18巷口,20:30,3,0
500101229,臺灣師範大學(浦城街),20:30,0,1
500101230,安和路二段69巷口,20:30,1,0
500101154,敦化市民路口,21:00,1,0
500101216,和平東路二段18巷口,21:00,0,1
500101230,安和路二段69巷口,21:00,1,0
500101031,臺大男七舍前,21:30,1,0
500101042,基隆長興路口東側,21:30,1,0
500101154,敦化市民路口,21:30,0,1
500101211,原臺北刑務所官舍,21:30,1,0
500101216,和平東路二段18巷口,21:30,1,0
500101230,安和路二段69巷口,21:30,0,1
500101031,臺大男七舍前,22:00,4,0
500101099,嘉興公園,22:00,1,0
500101104,捷運臺電大樓站(2號出口),22:00,0,1
500101130,民榮公園,22:00,3,0
500101143,昌隆公園,22:00,3,0
500101176,芳蘭山莊,22:00,1,0
500101211,原臺北刑務所官舍,22:00,1,0
500101216,和平東路二段18巷口,22:00,1,0
500101231,大安國小,22:00,3,0
500101240,和平東路二段76巷,22:00,2,0
500101259,臺靜農人文會館,22:00,2,0
500101031,臺大男七舍前,22:30,0,2
500101102,喬治工商,22:30,1,0
500101116,金華公園,22:30,1,0
500101216,和平東路二段18巷口,22:30,0,1
500101230,安和路二段69巷口,22:30,1,0
500101253,大安路二段90巷口,22:30,1,0
500101257,龍圖公園,22:30,1,0
500101031,臺大男七舍前,23:00,0,1
500101032,臺大男一舍前,23:00,4,0
500101102,喬治工商,23:00,1,0
500101116,金華公園,23:00,3,0
500101211,原臺北刑務所官舍,23:00,0,1
500101230,安和路二段69巷口,23:00,0,1
500101240,和平東路二段76巷,23:00,1,0
500101253,大安路二段90巷口,23:00,1,0
500101031,臺大男七舍前,23:30,0,1
500101130,民榮公園,23:30,0,1
500101230,安和路二段69巷口,23:30,1,0
500101253,大安路二段90巷口,23:30,0,1
