sno,sna,time,hide,release
500103001,延平國宅,00:00,3,0
500103020,民權迪化街口,00:00,8,0
500103035,重慶民族路口,00:00,2,0
500103058,樹德公園_1,00:00,6,0
500103020,民權迪化街口,00:30,0,4
500103035,重慶民族路口,02:00,2,0
500103058,樹德公園_1,02:00,0,2
500103065,大龍市場,02:00,2,0
500103035,重慶民族路口,02:30,0,1
500103058,樹德公園_1,02:30,2,0
500103020,民權迪化街口,03:00,1,0
500103064,大同行政中心,03:00,1,0
500103065,大龍市場,03:00,0,1
500103070,重慶北路三段205巷口,03:00,2,0
500103070,重慶北路三段205巷口,03:30,0,1
500103058,樹德公園_1,04:00,3,0
500103070,重慶北路三段205巷口,04:00,1,0
500103020,民權迪化街口,04:30,0,1
500103035,重慶民族路口,04:30,0,1
500103058,樹德公園_1,04:30,0,2
500103070,重慶北路三段205巷口,04:30,0,1
500103001,延平國宅,05:00,0,1
500103035,重慶民族路口,05:00,0,1
500103058,樹德公園_1,05:00,1,0
500103058,樹德公園_1,05:30,0,2
500103001,延平國宅,06:00,0,1
500103020,民權迪化街口,06:30,0,1
500103058,樹德公園_1,06:30,0,2
500103020,民權迪化街口,07:00,0,1
500103058,樹德公園_1,07:00,0,2
500103020,民權迪化街口,07:30,0,1
500103058,樹德公園_1,07:30,0,1
500103058,樹德公園_1,10:00,1,0
500103058,樹德公園_1,11:00,0,1
500103059,承德鄭州路口(市民高架下),18:00,5,0
500103059,承德鄭州路口(市民高架下),18:30,0,2
500103012,重慶北路三段383巷口,20:30,2,0
500103059,承德鄭州路口(市民高架下),20:30,0,1
500103021,大稻埕公園,21:00,2,0
500103059,承德鄭州路口(市民高架下),21:00,0,1
500103012,重慶北路三段383巷口,21:30,0,1
500103065,大龍市場,21:30,1,0
500103012,重慶北路三段383巷口,22:00,1,0
500103020,民權迪化街口,22:00,1,0
500103021,大稻埕公園,22:00,2,0
500103065,大龍市場,22:00,1,0
500103066,南京西寧北路口(西北側),22:00,1,0
500103070,重慶北路三段205巷口,22:00,1,0
500103073,民族西大龍街口,22:00,1,0
500103001,延平國宅,22:30,2,0
500103020,民權迪化街口,22:30,2,0
500103038,國順公園,22:30,1,0
500103063,延平涼州街口,22:30,1,0
500103066,南京西寧北路口(西北側),22:30,1,0
500103073,民族西大龍街口,22:30,1,0
500103021,大稻埕公園,23:00,0,1
500103058,樹德公園_1,23:00,3,0
500103065,大龍市場,23:00,0,1
500103073,民族西大龍街口,23:00,0,1
500103006,樹德公園,23:30,1,0
500103064,大同行政中心,23:30,1,0
500103068,哈密街23巷19弄口,23:30,1,0
500103070,重慶北路三段205巷口,23:30,1,0
500103073,民族西大龍街口,23:30,1,0
