sno,sna,time,hide,release
500103001,延平國宅,00:00,4,0
500103008,臺北孔廟,00:00,2,0
500103020,民權迪化街口,00:00,8,0
500103021,大稻埕公園,00:00,6,0
500103035,重慶民族路口,00:00,2,0
500103058,樹德公園_1,00:00,6,0
500103068,哈密街23巷19弄口,00:00,3,0
500103021,大稻埕公園,00:30,0,3
500103065,大龍市場,00:30,1,0
500103021,大稻埕公園,01:30,0,1
500103008,臺北孔廟,02:00,1,0
500103021,大稻埕公園,02:00,2,0
500103035,重慶民族路口,02:00,2,0
500103053,捷運中山站(5號出口),02:00,3,0
500103058,樹德公園_1,02:00,0,2
500103065,大龍市場,02:00,2,0
500103071,承德路二段91巷口,02:00,5,0
500103010,酒泉延平路口,02:30,2,0
500103021,大稻埕公園,02:30,0,2
500103035,重慶民族路口,02:30,0,1
500103053,捷運中山站(5號出口),02:30,0,1
500103058,樹德公園_1,02:30,2,0
500103065,大龍市場,02:30,0,1
500103068,哈密街23巷19弄口,02:30,1,0
500103071,承德路二段91巷口,02:30,0,1
500103058,樹德公園_1,03:00,1,0
500103065,大龍市場,03:00,0,1
500103021,大稻埕公園,03:30,0,1
500103058,樹德公園_1,04:00,2,0
500103010,酒泉延平路口,04:30,8,0
500103058,樹德公園_1,04:30,0,2
500103035,重慶民族路口,05:00,0,1
500103058,樹德公園_1,05:00,2,0
500103071,承德路二段91巷口,05:00,0,2
500103001,延平國宅,05:30,0,1
500103058,樹德公園_1,05:30,0,2
500103001,延平國宅,06:00,0,1
500103008,臺北孔廟,06:00,0,1
500103010,酒泉延平路口,06:00,0,5
500103035,重慶民族路口,06:00,0,1
500103053,捷運中山站(5號出口),06:00,6,0
500103058,樹德公園_1,06:00,0,1
500103071,承德路二段91巷口,06:00,0,1
500103001,延平國宅,06:30,0,1
500103008,臺北孔廟,06:30,0,1
500103010,酒泉延平路口,06:30,5,0
500103020,民權迪化街口,06:30,0,2
500103058,樹德公園_1,06:30,0,2
500103020,民權迪化街口,07:00,0,3
500103053,捷運中山站(5號出口),07:00,0,3
500103058,樹德公園_1,07:00,0,2
500103011,重慶國中,07:30,5,0
500103020,民權迪化街口,07:30,0,1
500103053,捷運中山站(5號出口),07:30,3,0
500103058,樹德公園_1,07:30,0,1
500103068,哈密街23巷19弄口,07:30,0,1
500103011,重慶國中,09:00,2,0
500103020,民權迪化街口,09:00,0,1
500103030,永樂市場,09:00,4,0
500103051,臺北轉運站(華陰街),09:00,3,0
500103053,捷運中山站(5號出口),09:00,4,0
500103068,哈密街23巷19弄口,09:00,0,1
500103071,承德路二段91巷口,09:00,8,0
500103010,酒泉延平路口,09:30,0,4
500103011,重慶國中,09:30,0,1
500103030,永樂市場,09:30,0,2
500103053,捷運中山站(5號出口),09:30,0,4
500103068,哈密街23巷19弄口,09:30,0,1
500103010,酒泉延平路口,10:00,0,3
500103011,重慶國中,10:00,0,3
500103030,永樂市場,10:00,0,1
500103051,臺北轉運站(華陰街),10:00,1,0
500103058,樹德公園_1,10:00,1,0
500103051,臺北轉運站(華陰街),10:30,0,1
500103010,酒泉延平路口,11:00,0,1
500103011,重慶國中,11:00,13,0
500103030,永樂市場,11:00,5,0
500103051,臺北轉運站(華陰街),11:00,3,0
500103053,捷運中山站(5號出口),11:00,2,0
500103058,樹德公園_1,11:00,0,1
500103010,酒泉延平路口,11:30,0,1
500103011,重慶國中,11:30,0,8
500103051,臺北轉運站(華陰街),11:30,0,2
500103053,捷運中山站(5號出口),11:30,0,1
500103030,永樂市場,12:00,5,0
500103051,臺北轉運站(華陰街),12:00,1,0
500103053,捷運中山站(5號出口),12:00,0,2
500103011,重慶國中,12:30,3,0
500103030,永樂市場,12:30,0,1
500103051,臺北轉運站(華陰街),12:30,0,2
500103053,捷運中山站(5號出口),12:30,1,0
500103011,重慶國中,13:00,2,0
500103028,捷運北門站(3號出口),13:00,4,0
500103071,承德路二段91巷口,13:30,0,4
500103011,重慶國中,14:00,1,0
500103030,永樂市場,14:00,0,2
500103053,捷運中山站(5號出口),14:00,0,3
500103011,重慶國中,14:30,2,0
500103011,重慶國中,15:00,2,0
500103051,臺北轉運站(華陰街),15:00,0,1
500103053,捷運中山站(5號出口),15:00,0,1
500103071,承德路二段91巷口,15:00,1,0
500103011,重慶國中,15:30,0,6
500103030,永樂市場,15:30,1,0
500103051,臺北轉運站(華陰街),15:30,0,1
500103071,承德路二段91巷口,15:30,0,1
500103011,重慶國中,16:00,0,6
500103053,捷運中山站(5號出口),16:00,0,2
500103065,大龍市場,16:00,1,0
500103071,承德路二段91巷口,16:00,0,2
500103011,重慶國中,16:30,0,3
500103053,捷運中山站(5號出口),16:30,0,1
500103011,重慶國中,17:00,0,1
500103030,永樂市場,17:00,2,0
500103065,大龍市場,17:00,0,1
500103011,重慶國中,17:30,0,1
500103071,承德路二段91巷口,17:30,0,1
500103030,永樂市場,18:00,0,1
500103053,捷運中山站(5號出口),18:00,2,0
500103071,承德路二段91巷口,18:00,0,1
500103053,捷運中山站(5號出口),18:30,0,1
500103020,民權迪化街口,19:00,1,0
500103053,捷運中山站(5號出口),19:00,0,1
500103071,承德路二段91巷口,19:00,8,0
500103008,臺北孔廟,19:30,1,0
500103010,酒泉延平路口,19:30,1,0
500103020,民權迪化街口,19:30,0,1
500103045,歸綏戲曲公園,19:30,6,0
500103008,臺北孔廟,20:00,0,1
500103010,酒泉延平路口,20:00,2,0
500103071,承德路二段91巷口,20:00,0,4
500103010,酒泉延平路口,20:30,0,2
500103012,重慶北路三段383巷口,20:30,2,0
500103020,民權迪化街口,20:30,1,0
500103028,捷運北門站(3號出口),20:30,0,2
500103010,酒泉延平路口,21:00,2,0
500103020,民權迪化街口,21:00,0,1
500103021,大稻埕公園,21:00,1,0
500103028,捷運北門站(3號出口),21:00,0,1
500103045,歸綏戲曲公園,21:00,0,3
500103063,延平涼州街口,21:00,2,0
500103071,承德路二段91巷口,21:00,0,2
500103010,酒泉延平路口,21:30,6,0
500103012,重慶北路三段383巷口,21:30,0,1
500103020,民權迪化街口,21:30,1,0
500103063,延平涼州街口,21:30,0,1
500103065,大龍市場,21:30,2,0
500103071,承德路二段91巷口,21:30,0,1
500103012,重慶北路三段383巷口,22:00,1,0
500103020,民權迪化街口,22:00,3,0
500103021,大稻埕公園,22:00,2,0
500103045,歸綏戲曲公園,22:00,2,0
500103064,大同行政中心,22:00,1,0
500103066,南京西寧北路口(西北側),22:00,1,0
500103068,哈密街23巷19弄口,22:00,2,0
500103070,重慶北路三段205巷口,22:00,2,0
500103073,民族西大龍街口,22:00,1,0
500103001,延平國宅,22:30,2,0
500103020,民權迪化街口,22:30,1,0
500103021,大稻埕公園,22:30,0,1
500103030,永樂市場,22:30,0,5
500103045,歸綏戲曲公園,22:30,1,0
500103066,南京西寧北路口(西北側),22:30,1,0
500103071,承德路二段91巷口,22:30,0,1
500103073,民族西大龍街口,22:30,1,0
500103021,大稻埕公園,23:00,0,1
500103025,捷運大橋頭站(1A出口),23:00,3,0
500103058,樹德公園_1,23:00,3,0
500103065,大龍市場,23:00,0,1
500103073,民族西大龍街口,23:00,0,1
500103006,樹德公園,23:30,1,0
500103008,臺北孔廟,23:30,1,0
500103020,民權迪化街口,23:30,1,0
500103021,大稻埕公園,23:30,1,0
500103064,大同行政中心,23:30,1,0
500103068,哈密街23巷19弄口,23:30,1,0
500103070,重慶北路三段205巷口,23:30,1,0
500103073,民族西大龍街口,23:30,1,0
