type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,00:00,500101004,500101171,5,,
dispatch,00:00,500101008,500101022,4,,
hide/release,00:00,500101013,,,3,0
hide/release,00:00,500101019,,,9,0
dispatch,00:00,500101027,500101022,7,,
dispatch,00:00,500101031,500101025,10,,
dispatch,00:00,500101032,500101150,2,,
dispatch,00:00,500101032,500101167,6,,
dispatch,00:00,500101032,500101233,12,,
dispatch,00:00,500101032,500101241,2,,
hide/release,00:00,500101032,,,24,0
hide/release,00:00,500101033,,,16,0
hide/release,00:00,500101094,,,5,0
hide/release,00:00,500101095,,,14,0
hide/release,00:00,500101097,,,16,0
hide/release,00:00,500101099,,,16,0
hide/release,00:00,500101100,,,8,0
hide/release,00:00,500101102,,,8,0
hide/release,00:00,500101113,,,20,0
hide/release,00:00,500101116,,,17,0
hide/release,00:00,500101119,,,8,0
hide/release,00:00,500101129,,,1,0
hide/release,00:00,500101130,,,5,0
hide/release,00:00,500101141,,,6,0
hide/release,00:00,500101142,,,12,0
hide/release,00:00,500101145,,,2,0
hide/release,00:00,500101157,,,6,0
dispatch,00:00,500101158,500101167,1,,
hide/release,00:00,500101158,,,8,0
hide/release,00:00,500101163,,,6,0
hide/release,00:00,500101176,,,4,0
hide/release,00:00,500101187,,,4,0
hide/release,00:00,500101190,,,10,0
hide/release,00:00,500101193,,,3,0
hide/release,00:00,500101211,,,6,0
hide/release,00:00,500101215,,,6,0
hide/release,00:00,500101216,,,9,0
hide/release,00:00,500101225,,,5,0
hide/release,00:00,500101231,,,10,0
hide/release,00:00,500101240,,,16,0
hide/release,00:00,500101248,,,7,0
hide/release,00:00,500101253,,,7,0
hide/release,00:00,500101257,,,5,0
dispatch,00:00,500101259,500101156,1,,
hide/release,00:00,500101259,,,4,0
hide/release,00:30,500101013,,,3,0
dispatch,00:30,500101026,500101159,3,,
dispatch,00:30,500101032,500101204,3,,
hide/release,00:30,500101032,,,8,0
hide/release,00:30,500101033,,,1,0
hide/release,00:30,500101042,,,5,0
dispatch,00:30,500101091,500101181,5,,
hide/release,00:30,500101094,,,0,1
hide/release,00:30,500101095,,,4,0
hide/release,00:30,500101097,,,8,0
hide/release,00:30,500101099,,,0,1
hide/release,00:30,500101100,,,0,1
hide/release,00:30,500101102,,,5,0
dispatch,00:30,500101103,500101093,2,,
dispatch,00:30,500101103,500101213,4,,
hide/release,00:30,500101113,,,6,0
hide/release,00:30,500101119,,,1,0
hide/release,00:30,500101129,,,2,0
hide/release,00:30,500101130,,,0,1
hide/release,00:30,500101141,,,0,3
hide/release,00:30,500101145,,,0,1
hide/release,00:30,500101157,,,0,1
hide/release,00:30,500101158,,,3,0
dispatch,00:30,500101170,500101181,7,,
hide/release,00:30,500101176,,,1,0
hide/release,00:30,500101190,,,2,0
hide/release,00:30,500101193,,,7,0
hide/release,00:30,500101199,,,4,0
dispatch,00:30,500101200,500101021,1,,
dispatch,00:30,500101200,500101232,1,,
dispatch,00:30,500101208,500101233,4,,
hide/release,00:30,500101211,,,0,1
hide/release,00:30,500101215,,,0,1
hide/release,00:30,500101216,,,2,0
dispatch,00:30,500101223,500101233,3,,
dispatch,00:30,500101224,500101093,3,,
dispatch,00:30,500101224,500101120,2,,
hide/release,00:30,500101225,,,0,1
dispatch,00:30,500101230,500101137,3,,
hide/release,00:30,500101231,,,5,0
dispatch,00:30,500101239,500101209,2,,
hide/release,00:30,500101240,,,7,0
dispatch,00:30,500101242,500101036,3,,
dispatch,00:30,500101244,500101006,2,,
dispatch,00:30,500101244,500101123,1,,
dispatch,00:30,500101257,500101241,1,,
hide/release,00:30,500101259,,,4,0
hide/release,01:00,500101013,,,0,2
dispatch,01:00,500101042,500101161,1,,
dispatch,01:00,500101091,500101171,1,,
dispatch,01:00,500101092,500101022,4,,
dispatch,01:00,500101095,500101197,1,,
dispatch,01:00,500101099,500101120,1,,
dispatch,01:00,500101099,500101159,1,,
dispatch,01:00,500101099,500101181,1,,
hide/release,01:00,500101099,,,0,3
hide/release,01:00,500101100,,,0,1
dispatch,01:00,500101102,500101209,1,,
dispatch,01:00,500101103,500101182,1,,
dispatch,01:00,500101108,500101233,4,,
hide/release,01:00,500101113,,,0,1
dispatch,01:00,500101116,500101186,1,,
dispatch,01:00,500101119,500101025,4,,
hide/release,01:00,500101119,,,0,4
dispatch,01:00,500101128,500101105,1,,
dispatch,01:00,500101143,500101120,1,,
dispatch,01:00,500101143,500101139,3,,
dispatch,01:00,500101143,500101250,1,,
dispatch,01:00,500101158,500101150,5,,
hide/release,01:00,500101158,,,0,5
dispatch,01:00,500101165,500101222,2,,
dispatch,01:00,500101165,500101250,3,,
dispatch,01:00,500101174,500101159,2,,
dispatch,01:00,500101176,500101181,1,,
dispatch,01:00,500101190,500101024,2,,
hide/release,01:00,500101193,,,0,2
dispatch,01:00,500101216,500101038,1,,
dispatch,01:00,500101218,500101150,3,,
dispatch,01:00,500101226,500101152,1,,
dispatch,01:00,500101234,500101251,1,,
