mu,alpha,beta,K,H,L,numTruck,pair,X,Y,objective,mean_wait
1.0,0.02,0.01,50,40,25,4,mu_K,1.0,50.0,2185.4,10.925
1.0,0.02,0.01,60,40,25,4,mu_K,1.0,60.0,2185.4,10.925
1.0,0.02,0.01,70,40,25,4,mu_K,1.0,70.0,2185.4,10.925
1.0,0.02,0.01,80,40,25,4,mu_K,1.0,80.0,2185.4,10.925
1.0,0.02,0.01,90,40,25,4,mu_K,1.0,90.0,2185.4,10.925
1.0,0.02,0.01,100,40,25,4,mu_K,1.0,100.0,2185.4,10.925
1.0,0.02,0.01,110,40,25,4,mu_K,1.0,110.0,2185.4,10.925
1.0,0.02,0.01,120,40,25,4,mu_K,1.0,120.0,2185.4,10.925
1.0,0.02,0.01,130,40,25,4,mu_K,1.0,130.0,2185.4,10.925
1.0,0.02,0.01,140,40,25,4,mu_K,1.0,140.0,2185.4,10.925
1.0,0.02,0.01,150,40,25,4,mu_K,1.0,150.0,2185.4,10.925
1.25,0.02,0.01,50,40,25,4,mu_K,1.25,50.0,1748.3999999999999,8.74
1.25,0.02,0.01,60,40,25,4,mu_K,1.25,60.0,1748.3999999999999,8.74
1.25,0.02,0.01,70,40,25,4,mu_K,1.25,70.0,1748.3999999999999,8.74
1.25,0.02,0.01,80,40,25,4,mu_K,1.25,80.0,1748.4,8.74
1.25,0.02,0.01,90,40,25,4,mu_K,1.25,90.0,1748.3999999999999,8.74
1.25,0.02,0.01,100,40,25,4,mu_K,1.25,100.0,1748.3999999999999,8.74
1.25,0.02,0.01,110,40,25,4,mu_K,1.25,110.0,1748.3999999999999,8.74
1.25,0.02,0.01,120,40,25,4,mu_K,1.25,120.0,1748.3999999999999,8.74
1.25,0.02,0.01,130,40,25,4,mu_K,1.25,130.0,1748.3999999999999,8.74
1.25,0.02,0.01,140,40,25,4,mu_K,1.25,140.0,1748.3999999999999,8.74
1.25,0.02,0.01,150,40,25,4,mu_K,1.25,150.0,1748.3999999999999,8.74
1.5,0.02,0.01,50,40,25,4,mu_K,1.5,50.0,1457.0666666666666,7.283333333333332
1.5,0.02,0.01,60,40,25,4,mu_K,1.5,60.0,1457.0666666666666,7.283333333333332
1.5,0.02,0.01,70,40,25,4,mu_K,1.5,70.0,1457.0666666666666,7.283333333333332
1.5,0.02,0.01,80,40,25,4,mu_K,1.5,80.0,1457.0666666666666,7.283333333333332
1.5,0.02,0.01,90,40,25,4,mu_K,1.5,90.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,100,40,25,4,mu_K,1.5,100.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,110,40,25,4,mu_K,1.5,110.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,120,40,25,4,mu_K,1.5,120.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,130,40,25,4,mu_K,1.5,130.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,140,40,25,4,mu_K,1.5,140.0,1457.0666666666664,7.283333333333332
1.5,0.02,0.01,150,40,25,4,mu_K,1.5,150.0,1457.0666666666664,7.283333333333332
1.75,0.02,0.01,50,40,25,4,mu_K,1.75,50.0,1248.9714285714285,6.242857142857142
1.75,0.02,0.01,60,40,25,4,mu_K,1.75,60.0,1248.9714285714285,6.242857142857142
1.75,0.02,0.01,70,40,25,4,mu_K,1.75,70.0,1248.9714285714285,6.242857142857142
1.75,0.02,0.01,80,40,25,4,mu_K,1.75,80.0,1248.9714285714285,6.242857142857142
1.75,0.02,0.01,90,40,25,4,mu_K,1.75,90.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,100,40,25,4,mu_K,1.75,100.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,110,40,25,4,mu_K,1.75,110.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,120,40,25,4,mu_K,1.75,120.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,130,40,25,4,mu_K,1.75,130.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,140,40,25,4,mu_K,1.75,140.0,1248.9714285714283,6.242857142857142
1.75,0.02,0.01,150,40,25,4,mu_K,1.75,150.0,1248.9714285714283,6.242857142857142
2.0,0.02,0.01,50,40,25,4,mu_K,2.0,50.0,1092.9,5.4625
2.0,0.02,0.01,60,40,25,4,mu_K,2.0,60.0,1092.9,5.4625
2.0,0.02,0.01,70,40,25,4,mu_K,2.0,70.0,1092.9,5.4625
2.0,0.02,0.01,80,40,25,4,mu_K,2.0,80.0,1092.9,5.4625
