sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500109001,承德路七段304巷口,北投區,00:00,24.0,7.0,16.0
500109002,洲美運動公園,北投區,00:00,25.0,16.5,8.25
500109003,榮華二明德路口,北投區,00:00,30.0,6.75,22.75
500109004,捷運明德站(1號出口),北投區,00:00,23.0,14.75,7.5
500109005,文林建民路口,北投區,00:00,25.0,12.0,13.0
500109006,永欣綠地,北投區,00:00,37.0,19.25,17.5
500109007,關渡宮,北投區,00:00,62.0,49.75,12.0
500109008,關渡自然公園,北投區,00:00,35.0,11.25,23.25
500109009,關渡醫院,北投區,00:00,14.0,3.75,10.25
500109010,捷運忠義站(1號出口),北投區,00:00,30.0,18.0,12.0
500109011,捷運關渡站(1號出口),北投區,00:00,99.0,69.25,28.5
500109012,捷運關渡站(2號出口),北投區,00:00,22.0,11.5,10.25
500109013,中央北路四段540巷口,北投區,00:00,31.0,8.25,22.0
500109014,大度立德路口,北投區,00:00,24.0,15.5,8.5
500109015,捷運復興崗站(1號出口),北投區,00:00,45.0,35.0,10.0
500109016,捷運復興崗站旅客服務中心,北投區,00:00,15.0,5.5,8.75
500109017,豐年公園,北投區,00:00,29.0,12.0,17.0
500109018,稻香重三路口,北投區,00:00,15.0,5.25,9.25
500109019,國防大學政治作戰學院,北投區,00:00,45.0,17.25,27.0
500109020,秀山區民活動中心,北投區,00:00,36.0,12.75,22.75
500109022,大業大同街口,北投區,00:00,42.0,9.75,31.75
500109023,捷運新北投站,北投區,00:00,42.0,11.75,29.0
500109024,捷運北投站,北投區,00:00,30.0,23.75,5.25
500109025,捷運奇岩站(三合街),北投區,00:00,40.0,28.5,11.5
500109026,八仙里辦公處,北投區,00:00,25.0,8.0,16.5
500109027,清江國小,北投區,00:00,58.0,9.0,48.0
500109028,大業路300巷口,北投區,00:00,20.0,8.0,10.5
500109029,立農公園,北投區,00:00,21.0,7.0,13.25
500109030,北投奇岩長青樂活大樓,北投區,00:00,25.0,7.0,17.75
500109031,捷運唭哩岸站(2號出口),北投區,00:00,48.0,46.25,1.25
500109032,北投運動中心,北投區,00:00,70.0,19.25,50.0
500109033,陽明大學,北投區,00:00,53.0,20.5,32.5
500109034,捷運石牌站(2號出口),北投區,00:00,62.0,38.25,23.0
500109035,台北護理大學,北投區,00:00,42.0,26.75,14.75
500109036,捷運石牌站(1號出口),北投區,00:00,33.0,24.5,7.75
500109037,振興醫院,北投區,00:00,36.0,25.5,8.25
500109039,石牌國小,北投區,00:00,26.0,21.75,4.0
500109040,振興公園,北投區,00:00,25.0,19.75,5.25
500109041,立農國小,北投區,00:00,25.0,7.5,17.25
500109042,承德路七段280巷口,北投區,00:00,22.0,8.25,13.25
500109043,致遠一路二段11巷,北投區,00:00,22.0,7.75,14.0
500109044,榮富公園,北投區,00:00,13.0,2.25,10.0
500109045,中正高中,北投區,00:00,31.0,23.0,8.0
