sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500111001,南港公園(東新街),南港區,00:00,25.0,6.75,18.25
500111002,南港公園(福德街),南港區,00:00,56.0,27.0,29.0
500111003,捷運昆陽站(1號出口),南港區,00:00,65.0,58.25,6.75
500111004,忠孝東路六段225巷口,南港區,00:00,35.0,9.0,25.75
500111005,捷運後山埤站(1號出口),南港區,00:00,53.0,45.5,7.5
500111006,合樂公園,南港區,00:00,15.0,9.25,5.75
500111007,合心廣場,南港區,00:00,43.0,28.5,14.5
500111008,成德國中,南港區,00:00,44.0,20.5,22.75
500111009,玉成公園,南港區,00:00,36.0,15.75,20.25
500111010,研究院舊莊街口,南港區,00:00,30.0,14.25,15.75
500111011,中研院綜合體育館東側,南港區,00:00,30.0,25.0,4.75
500111012,國家生技園區,南港區,00:00,38.0,36.25,1.75
500111013,捷運南港展覽館站(5號出口),南港區,00:00,73.0,67.75,5.0
500111014,中研公園,南港區,00:00,40.0,7.0,32.5
500111015,福山公園,南港區,00:00,30.0,8.5,21.5
500111016,舊莊區民活動中心,南港區,00:00,34.0,11.25,22.25
500111017,凌雲市場,南港區,00:00,35.0,12.5,22.25
500111018,市民大道八段532號,南港區,00:00,15.0,5.75,9.0
500111019,捷運南港軟體園區(2號出口),南港區,00:00,70.0,66.5,3.5
500111020,南港國小,南港區,00:00,41.0,34.0,7.0
500111021,興中立體停車場(興中路),南港區,00:00,26.0,18.0,8.0
500111022,臺北市立圖書館南港分館,南港區,00:00,40.0,25.0,15.0
500111023,東陽公園,南港區,00:00,48.0,15.25,31.0
500111024,向陽南港路口,南港區,00:00,44.0,36.0,8.0
500111025,南港車站(忠孝東路七段415巷),南港區,00:00,11.0,9.25,1.75
500111026,捷運南港站(2號出口),南港區,00:00,23.0,13.25,9.75
500111027,捷運南港站(1號出口),南港區,00:00,20.0,7.5,12.5
500111028,東新國小,南港區,00:00,22.0,10.25,11.75
500111029,中華科技大學,南港區,00:00,20.0,11.75,8.25
500111030,六福公園,南港區,00:00,19.0,7.0,11.75
500111031,南港加壓站,南港區,00:00,24.0,8.75,14.5
500111032,臺北流行音樂中心(南港路),南港區,00:00,21.0,13.75,7.25
500111033,興南公園,南港區,00:00,26.0,17.0,9.0
500111034,臺北流行音樂中心(市民大道),南港區,00:00,32.0,25.0,7.0
500111035,南港車站(市民大道),南港區,00:00,30.0,29.75,0.25
500111036,忠孝東路七段527巷口,南港區,00:00,26.0,11.5,14.25
500111037,南港軟體園區(新民街),南港區,00:00,25.0,22.75,2.0
500111038,世貿公園,南港區,00:00,35.0,32.75,2.25
500111039,凌雲五村(研究院路三段8巷),南港區,00:00,26.0,11.25,14.75
500111040,新新公園(昆陽街60巷),南港區,00:00,20.0,14.5,5.5
500111041,南港高中(昆陽街),南港區,00:00,26.0,22.75,3.25
500111042,南港路三段290巷口,南港區,00:00,20.0,4.0,15.75
500111043,南港路三段220巷口,南港區,00:00,25.0,11.5,13.5
500111044,南港東新街口,南港區,00:00,28.0,14.5,13.5
500111045,八德中坡路口,南港區,00:00,40.0,29.0,11.0
500111046,捷運後山埤站(3號出口),南港區,00:00,18.0,17.0,1.0
500111047,玉成公園運動中心,南港區,00:00,26.0,9.25,16.75
500111048,百福公園,南港區,00:00,25.0,7.5,16.25
500111049,南湖大橋(經貿二路255巷),南港區,00:00,20.0,15.5,4.5
500111050,園區重陽路口,南港區,00:00,21.0,12.0,8.5
500111051,南港車站B棟(市民大道),南港區,00:00,24.0,17.5,6.25
500111052,胡適公園,南港區,00:00,25.0,18.0,7.0
500111053,南港抽水站,南港區,00:00,19.0,6.0,13.0
500111054,經貿公園,南港區,00:00,20.0,11.0,9.0
500111055,育成高中,南港區,00:00,33.0,25.25,7.75
500111056,捷運南港展覽館站(7號出口),南港區,00:00,42.0,15.5,1.5
500111057,力行橋(南港),南港區,00:00,18.0,4.5,10.5
500111058,舊莊國小(舊莊街一段),南港區,00:00,18.0,6.5,11.25
500111059,向陽公園,南港區,00:00,24.0,11.25,12.0
500111060,小彎社會住宅,南港區,00:00,51.0,12.75,38.0
500111061,捷運南港展覽館站(6號出口),南港區,00:00,25.0,15.0,10.0
500111062,捷運南港展覽館站(4號出口),南港區,00:00,39.0,33.75,4.5
500111063,成德綠地,南港區,00:00,17.0,10.75,6.25
500111064,南港公園(東新街170巷),南港區,00:00,16.0,4.75,11.0
500111065,中坡市民路口(東北側),南港區,00:00,27.0,20.5,6.5
500111066,昆陽公園,南港區,00:00,14.0,3.0,10.25
500111067,南港路二段178巷口,南港區,00:00,18.0,7.25,10.5
500111068,南港車站(忠孝東路),南港區,00:00,24.0,19.75,4.25
500111069,南港車站(興華路),南港區,00:00,48.0,47.0,1.0
500111070,玉成公園(成福路178巷口),南港區,00:00,27.0,10.5,15.75
500111071,玉東公園(東新街),南港區,00:00,25.0,5.5,19.25
500111072,南港出租國宅社區,南港區,00:00,25.0,11.0,13.5
500111073,成福路197巷口,南港區,00:00,15.0,6.25,6.5
500111074,南港疏散門(基三號疏散門),南港區,00:00,24.0,15.0,9.0
500111075,成德立體停車場,南港區,00:00,17.0,7.0,10.0
500111076,南港展覽館2館,南港區,00:00,18.0,12.0,5.75
500111077,舊莊派出所,南港區,00:00,15.0,6.0,9.0
500111078,南港路三段80巷,南港區,00:00,15.0,7.0,8.0
500111079,捷運昆陽站(4號出口),南港區,00:00,28.0,24.75,3.25
500111080,忠孝東路六段278巷口,南港區,00:00,12.0,1.75,10.25
500111081,中研院人文社會科學館,南港區,00:00,30.0,24.5,5.5
500111082,南港路三段130巷口,南港區,00:00,12.0,3.75,8.25
500111083,南港路三段190巷口,南港區,00:00,16.0,9.75,6.25
500111084,忠孝東路六段212巷口,南港區,00:00,15.0,6.0,9.0
500111085,新富公園,南港區,00:00,12.0,8.0,4.0
500111086,東新街63巷口,南港區,00:00,15.0,6.5,8.5
500111087,中興公園,南港區,00:00,15.0,12.5,2.5
500111088,向陽市民大道路口(西北側),南港區,00:00,29.0,23.5,5.5
500111089,向陽南港路口(西北側),南港區,00:00,26.0,18.0,8.0
500111090,研究院路一段151巷口,南港區,00:00,14.0,5.5,8.25
500111091,興中重陽路口,南港區,00:00,24.0,19.5,4.25
500111092,中研院近代史研究所研究大樓,南港區,00:00,16.0,11.5,4.5
500111093,中研院人文社會科學研究中心,南港區,00:00,16.0,13.0,3.0
500111094,中研院生態時代館,南港區,00:00,16.0,13.0,2.75
500111095,玉成街(中坡北路50巷口),南港區,00:00,20.0,13.0,7.0
500111096,東明公園,南港區,00:00,20.0,9.25,10.5
500111097,捷運南港軟體園區站(1號出口),南港區,00:00,36.0,33.5,2.5
500111098,南港花園社區A18,南港區,00:00,13.0,2.25,9.25
500111113,內湖機廠(港東街),南港區,00:00,20.0,9.5,10.0
500111114,市民昆陽街口,南港區,00:00,30.0,24.25,5.5
500111115,南港機廠(北流),南港區,00:00,20.0,17.25,2.5
500111116,忠孝東路七段265巷,南港區,00:00,40.0,35.0,5.0
500111117,昆陽東新街口,南港區,00:00,24.0,14.0,10.0
500111118,臺北市捷運局機電工程處,南港區,00:00,20.0,17.5,2.5
500111119,經貿二路105巷口(經貿二路),南港區,00:00,37.0,31.25,5.75
500111120,經貿二路105巷口(經貿一路),南港區,00:00,20.0,18.0,2.0
500111121,經貿二路185巷,南港區,00:00,21.0,17.5,3.5
500111123,南港路三段106巷口(中華賓士),南港區,00:00,23.0,13.0,10.0
500111124,中坡松隆路口,南港區,00:00,21.0,17.0,3.75
500111001,南港公園(東新街),南港區,00:30,25.0,5.916666666666667,18.83333333333333
500111002,南港公園(福德街),南港區,00:30,56.0,27.166666666666668,28.83333333333333
500111003,捷運昆陽站(1號出口),南港區,00:30,65.0,60.833333333333336,4.166666666666667
500111004,忠孝東路六段225巷口,南港區,00:30,35.0,8.5,26.33333333333333
500111005,捷運後山埤站(1號出口),南港區,00:30,53.0,46.25,6.75
500111006,合樂公園,南港區,00:30,15.0,9.666666666666666,5.333333333333333
500111007,合心廣場,南港區,00:30,43.0,29.08333333333333,13.583333333333334
500111008,成德國中,南港區,00:30,44.0,24.166666666666668,18.5
500111009,玉成公園,南港區,00:30,36.0,16.166666666666668,19.83333333333333
500111010,研究院舊莊街口,南港區,00:30,30.0,16.666666666666668,13.333333333333334
500111011,中研院綜合體育館東側,南港區,00:30,30.0,25.166666666666668,4.666666666666667
500111012,國家生技園區,南港區,00:30,38.0,36.0,2.0
500111013,捷運南港展覽館站(5號出口),南港區,00:30,73.0,70.58333333333333,2.25
500111014,中研公園,南港區,00:30,40.0,11.083333333333334,28.416666666666668
500111015,福山公園,南港區,00:30,30.0,12.0,17.666666666666668
500111016,舊莊區民活動中心,南港區,00:30,34.0,10.166666666666666,22.83333333333333
500111017,凌雲市場,南港區,00:30,35.0,9.333333333333334,25.5
500111018,市民大道八段532號,南港區,00:30,15.0,7.5,7.333333333333333
500111019,捷運南港軟體園區(2號出口),南港區,00:30,70.0,67.91666666666667,2.083333333333333
500111020,南港國小,南港區,00:30,41.0,35.666666666666664,5.166666666666667
500111021,興中立體停車場(興中路),南港區,00:30,26.0,17.916666666666668,8.083333333333334
500111022,臺北市立圖書館南港分館,南港區,00:30,40.0,26.83333333333333,13.166666666666666
500111023,東陽公園,南港區,00:30,48.0,14.583333333333334,32.916666666666664
500111024,向陽南港路口,南港區,00:30,44.0,38.333333333333336,5.666666666666667
500111025,南港車站(忠孝東路七段415巷),南港區,00:30,11.0,9.5,1.5
500111026,捷運南港站(2號出口),南港區,00:30,23.0,13.083333333333334,9.916666666666666
500111027,捷運南港站(1號出口),南港區,00:30,20.0,8.166666666666666,11.833333333333334
500111028,東新國小,南港區,00:30,22.0,7.0,15.0
500111029,中華科技大學,南港區,00:30,20.0,15.166666666666666,4.833333333333333
500111030,六福公園,南港區,00:30,19.0,6.5,12.333333333333334
500111031,南港加壓站,南港區,00:30,24.0,8.083333333333334,15.416666666666666
500111032,臺北流行音樂中心(南港路),南港區,00:30,21.0,12.916666666666666,8.083333333333334
500111033,興南公園,南港區,00:30,26.0,17.5,8.5
500111034,臺北流行音樂中心(市民大道),南港區,00:30,32.0,27.33333333333333,4.666666666666667
500111035,南港車站(市民大道),南港區,00:30,30.0,25.25,4.75
500111036,忠孝東路七段527巷口,南港區,00:30,26.0,10.833333333333334,14.833333333333334
500111037,南港軟體園區(新民街),南港區,00:30,25.0,23.416666666666668,1.4166666666666667
500111038,世貿公園,南港區,00:30,35.0,33.0,2.0
500111039,凌雲五村(研究院路三段8巷),南港區,00:30,26.0,11.333333333333334,14.666666666666666
500111040,新新公園(昆陽街60巷),南港區,00:30,20.0,15.833333333333334,4.166666666666667
500111041,南港高中(昆陽街),南港區,00:30,26.0,23.0,3.0
500111042,南港路三段290巷口,南港區,00:30,20.0,4.333333333333333,15.5
500111043,南港路三段220巷口,南港區,00:30,25.0,10.5,14.5
500111044,南港東新街口,南港區,00:30,28.0,14.166666666666666,13.833333333333334
500111045,八德中坡路口,南港區,00:30,40.0,30.08333333333333,9.916666666666666
500111046,捷運後山埤站(3號出口),南港區,00:30,18.0,15.416666666666666,2.583333333333333
500111047,玉成公園運動中心,南港區,00:30,26.0,10.583333333333334,15.416666666666666
500111048,百福公園,南港區,00:30,25.0,7.25,16.083333333333332
500111049,南湖大橋(經貿二路255巷),南港區,00:30,20.0,16.916666666666668,3.083333333333333
500111050,園區重陽路口,南港區,00:30,21.0,12.333333333333334,8.166666666666666
500111051,南港車站B棟(市民大道),南港區,00:30,24.0,17.5,6.333333333333333
500111052,胡適公園,南港區,00:30,25.0,18.08333333333333,6.916666666666667
500111053,南港抽水站,南港區,00:30,19.0,5.416666666666667,13.583333333333334
500111054,經貿公園,南港區,00:30,20.0,11.333333333333334,8.666666666666666
500111055,育成高中,南港區,00:30,33.0,26.75,6.25
500111056,捷運南港展覽館站(7號出口),南港區,00:30,42.0,13.666666666666666,3.1666666666666665
500111057,力行橋(南港),南港區,00:30,18.0,6.25,8.25
500111058,舊莊國小(舊莊街一段),南港區,00:30,18.0,6.666666666666667,11.0
500111059,向陽公園,南港區,00:30,24.0,11.666666666666666,11.666666666666666
500111060,小彎社會住宅,南港區,00:30,51.0,11.25,39.583333333333336
500111061,捷運南港展覽館站(6號出口),南港區,00:30,25.0,18.0,7.0
500111062,捷運南港展覽館站(4號出口),南港區,00:30,39.0,33.25,5.25
500111063,成德綠地,南港區,00:30,17.0,12.0,4.833333333333333
500111064,南港公園(東新街170巷),南港區,00:30,16.0,4.666666666666667,10.333333333333334
500111065,中坡市民路口(東北側),南港區,00:30,27.0,21.58333333333333,5.416666666666667
500111066,昆陽公園,南港區,00:30,14.0,4.75,8.583333333333334
500111067,南港路二段178巷口,南港區,00:30,18.0,7.0,10.833333333333334
500111068,南港車站(忠孝東路),南港區,00:30,24.0,18.166666666666668,5.666666666666667
500111069,南港車站(興華路),南港區,00:30,48.0,43.66666666666666,4.166666666666667
500111070,玉成公園(成福路178巷口),南港區,00:30,27.0,7.416666666666667,18.5
500111071,玉東公園(東新街),南港區,00:30,25.0,7.333333333333333,17.5
500111072,南港出租國宅社區,南港區,00:30,25.0,10.916666666666666,13.75
500111073,成福路197巷口,南港區,00:30,15.0,4.5,8.666666666666666
500111074,南港疏散門(基三號疏散門),南港區,00:30,24.0,15.0,9.0
500111075,成德立體停車場,南港區,00:30,17.0,8.666666666666666,8.333333333333334
500111076,南港展覽館2館,南港區,00:30,18.0,9.5,8.333333333333334
500111077,舊莊派出所,南港區,00:30,15.0,6.25,8.75
500111078,南港路三段80巷,南港區,00:30,15.0,7.25,7.75
500111079,捷運昆陽站(4號出口),南港區,00:30,28.0,23.0,4.833333333333333
500111080,忠孝東路六段278巷口,南港區,00:30,12.0,2.083333333333333,9.916666666666666
500111081,中研院人文社會科學館,南港區,00:30,30.0,25.5,4.5
500111082,南港路三段130巷口,南港區,00:30,12.0,3.0,9.0
500111083,南港路三段190巷口,南港區,00:30,16.0,7.916666666666667,8.083333333333334
500111084,忠孝東路六段212巷口,南港區,00:30,15.0,5.666666666666667,9.333333333333334
500111085,新富公園,南港區,00:30,12.0,7.25,4.75
500111086,東新街63巷口,南港區,00:30,15.0,5.583333333333333,9.416666666666666
500111087,中興公園,南港區,00:30,15.0,12.583333333333334,2.4166666666666665
500111088,向陽市民大道路口(西北側),南港區,00:30,29.0,24.83333333333333,4.166666666666667
500111089,向陽南港路口(西北側),南港區,00:30,26.0,18.5,7.5
500111090,研究院路一段151巷口,南港區,00:30,14.0,5.916666666666667,7.916666666666667
500111091,興中重陽路口,南港區,00:30,24.0,18.25,5.416666666666667
500111092,中研院近代史研究所研究大樓,南港區,00:30,16.0,12.5,3.5
500111093,中研院人文社會科學研究中心,南港區,00:30,16.0,13.5,2.5
500111094,中研院生態時代館,南港區,00:30,16.0,13.916666666666666,1.75
500111095,玉成街(中坡北路50巷口),南港區,00:30,20.0,12.833333333333334,7.166666666666667
500111096,東明公園,南港區,00:30,20.0,9.166666666666666,10.666666666666666
500111097,捷運南港軟體園區站(1號出口),南港區,00:30,36.0,34.083333333333336,1.9166666666666667
500111098,南港花園社區A18,南港區,00:30,13.0,1.6666666666666667,8.833333333333334
500111113,內湖機廠(港東街),南港區,00:30,20.0,11.0,8.666666666666666
500111114,市民昆陽街口,南港區,00:30,30.0,25.58333333333333,4.25
500111115,南港機廠(北流),南港區,00:30,20.0,15.333333333333334,4.333333333333333
500111116,忠孝東路七段265巷,南港區,00:30,40.0,33.166666666666664,6.833333333333333
500111117,昆陽東新街口,南港區,00:30,24.0,14.166666666666666,9.833333333333334
500111118,臺北市捷運局機電工程處,南港區,00:30,20.0,17.166666666666668,2.833333333333333
500111119,經貿二路105巷口(經貿二路),南港區,00:30,37.0,33.0,4.0
500111120,經貿二路105巷口(經貿一路),南港區,00:30,20.0,18.416666666666668,1.5833333333333333
500111121,經貿二路185巷,南港區,00:30,21.0,16.166666666666668,4.833333333333333
500111123,南港路三段106巷口(中華賓士),南港區,00:30,23.0,14.0,9.0
500111124,中坡松隆路口,南港區,00:30,21.0,15.333333333333334,5.5
500111001,南港公園(東新街),南港區,01:00,25.0,5.166666666666667,19.666666666666668
500111002,南港公園(福德街),南港區,01:00,56.0,26.83333333333333,29.166666666666668
500111003,捷運昆陽站(1號出口),南港區,01:00,65.0,57.5,7.5
500111004,忠孝東路六段225巷口,南港區,01:00,35.0,8.666666666666666,26.166666666666668
500111005,捷運後山埤站(1號出口),南港區,01:00,53.0,45.16666666666666,7.833333333333333
500111006,合樂公園,南港區,01:00,15.0,9.5,5.5
500111007,合心廣場,南港區,01:00,43.0,29.33333333333333,13.333333333333334
500111008,成德國中,南港區,01:00,44.0,24.33333333333333,18.33333333333333
500111009,玉成公園,南港區,01:00,36.0,16.0,20.0
