sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500108001,文湖街21巷118弄口,內湖區,00:00,28.0,7.0,20.0
500108002,北勢湖環保公園,內湖區,00:00,27.0,23.0,4.0
500108003,洲子一號公園,內湖區,00:00,43.0,38.5,4.25
500108004,西康公園,內湖區,00:00,21.0,15.25,5.75
500108005,文湖國小,內湖區,00:00,43.0,13.25,29.0
500108006,文湖街81巷10號西側,內湖區,00:00,21.0,7.5,13.5
500108007,德明財經科技大學,內湖區,00:00,36.0,8.75,27.25
500108008,麗山國小,內湖區,00:00,18.0,10.5,7.5
500108009,麗山高中,內湖區,00:00,33.0,21.5,11.25
500108010,港華五號公園,內湖區,00:00,16.0,7.5,8.5
500108011,大湖國小,內湖區,00:00,29.0,6.0,22.75
500108013,東湖路113巷95弄,內湖區,00:00,17.0,4.5,12.25
500108014,瑞光計程車服務站,內湖區,00:00,20.0,14.5,5.5
500108015,文德三號公園(江南街71巷16弄),內湖區,00:00,15.0,9.75,5.25
500108016,捷運大湖公園站(2號出口),內湖區,00:00,46.0,36.25,9.75
500108018,康寧星雲街口,內湖區,00:00,19.0,9.0,9.0
500108019,星雲街47號,內湖區,00:00,22.0,6.25,14.5
500108020,捷運西湖站(1號出口),內湖區,00:00,23.0,18.25,4.5
500108021,捷運西湖站(2號出口),內湖區,00:00,31.0,22.75,8.25
500108022,洲子二號公園,內湖區,00:00,60.0,53.75,5.75
500108023,港都公園,內湖區,00:00,15.0,4.0,11.0
500108024,環山路二段26巷口,內湖區,00:00,22.0,8.0,13.75
500108025,成功金龍路口,內湖區,00:00,29.0,25.25,3.25
500108026,碧山公園,內湖區,00:00,31.0,8.25,20.0
500108027,金瑞公園,內湖區,00:00,30.0,7.5,22.5
500108028,捷運文德站(2號出口),內湖區,00:00,49.0,42.5,6.5
500108029,陽光公園,內湖區,00:00,16.0,11.5,4.5
500108030,文德二號公園(南側),內湖區,00:00,13.0,6.25,6.5
500108031,文德二號公園(北側),內湖區,00:00,15.0,10.5,4.5
500108032,瑞陽公園,內湖區,00:00,12.0,5.5,6.5
500108033,湖光國宅,內湖區,00:00,37.0,11.0,26.0
500108034,潭美街213號,內湖區,00:00,12.0,2.75,9.25
500108035,南京東路六段180號,內湖區,00:00,21.0,8.75,11.25
500108036,潭美國小(南京舊宗路口),內湖區,00:00,29.0,7.0,21.5
500108037,新明路343號,內湖區,00:00,10.0,2.75,7.0
500108038,成美長壽橋(潭美街),內湖區,00:00,17.0,6.0,10.25
500108039,內湖行政中心,內湖區,00:00,25.0,18.0,7.0
500108040,樂康公園,內湖區,00:00,20.0,6.25,13.5
500108041,安康路32巷24弄,內湖區,00:00,21.0,17.5,3.5
500108043,明美公園,內湖區,00:00,30.0,18.75,11.0
500108044,南京東路六段368巷,內湖區,00:00,73.0,63.0,9.5
500108045,新明成功路口,內湖區,00:00,30.0,17.0,13.0
500108046,民權瑞光路口,內湖區,00:00,32.0,15.75,16.0
500108047,瑞光公共住宅(瑞光路),內湖區,00:00,18.0,11.5,6.25
500108048,民權東路六段15巷,內湖區,00:00,28.0,14.25,13.75
500108049,扶輪親恩公園,內湖區,00:00,30.0,12.0,18.0
500108050,新湖三民善街口,內湖區,00:00,15.0,11.0,4.0
500108051,內湖119號綠地,內湖區,00:00,41.0,24.5,16.5
500108052,行善公園,內湖區,00:00,25.0,13.75,11.0
500108054,三軍總醫院,內湖區,00:00,50.0,37.0,13.0
500108055,福華商場,內湖區,00:00,25.0,15.5,9.5
500108056,臺北市網球中心,內湖區,00:00,34.0,22.75,11.25
500108057,捷運葫洲站(1號出口),內湖區,00:00,37.0,26.25,10.75
500108058,麗湖國小,內湖區,00:00,27.0,10.0,16.5
500108059,金湖路347巷125弄口,內湖區,00:00,15.0,8.25,6.75
500108060,碧湖公園,內湖區,00:00,25.0,15.75,9.25
500108061,碧湖公園(內湖路二段103巷),內湖區,00:00,19.0,8.25,8.0
500108062,貿七社區,內湖區,00:00,17.0,10.25,6.5
500108063,內湖區農會,內湖區,00:00,12.0,5.25,6.75
500108064,捷運內湖站(2號出口),內湖區,00:00,10.0,7.5,2.5
500108065,康寧金湖路口,內湖區,00:00,21.0,9.75,11.0
500108066,康寧路一段156巷20弄口,內湖區,00:00,20.0,7.5,12.5
500108067,安康公園,內湖區,00:00,25.0,20.5,4.25
500108068,安泰街83巷,內湖區,00:00,34.0,11.0,23.0
500108069,內溝溪生態展示館,內湖區,00:00,16.0,6.5,9.5
500108070,捷運港墘站(2號出口),內湖區,00:00,47.0,40.25,6.75
