sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500104001,劍潭抽水站,士林區,00:00,17.0,3.0,8.5
500104002,通河東街大南路口,士林區,00:00,15.0,4.5,9.0
500104003,福港街停車場,士林區,00:00,38.0,5.25,24.0
500104004,百齡國小,士林區,00:00,50.0,6.5,40.75
500104005,雨聲街165巷口,士林區,00:00,24.0,13.25,10.75
500104006,天和公園,士林區,00:00,16.0,4.0,7.75
500104007,中山天母路口,士林區,00:00,29.0,16.0,12.25
500104008,天母運動公園,士林區,00:00,50.0,34.75,15.25
500104009,臺北市立大學(天母校區),士林區,00:00,48.0,20.0,26.0
500104010,忠誠路二段53巷,士林區,00:00,37.0,34.0,3.0
500104012,天母棒球場,士林區,00:00,26.0,18.0,7.75
500104013,天母北天玉街口,士林區,00:00,15.0,6.0,8.5
500104014,蘭興公園,士林區,00:00,56.0,17.0,38.25
500104015,明勝公園,士林區,00:00,14.0,4.25,7.0
500104016,劍潭海外青年活動中心,士林區,00:00,23.0,20.5,2.5
500104018,忠誠路一段173巷口,士林區,00:00,11.0,5.0,3.25
500104019,雨農國小,士林區,00:00,21.0,4.0,12.75
500104020,忠誠公園,士林區,00:00,25.0,17.75,7.0
500104021,芝山抽水站,士林區,00:00,41.0,11.5,21.75
500104022,至誠路一段305巷口,士林區,00:00,21.0,4.75,16.25
500104023,華齡公園,士林區,00:00,32.0,8.0,23.25
500104024,前港公園(福德宮),士林區,00:00,18.0,5.25,10.75
500104025,華齡街185巷口,士林區,00:00,12.0,3.0,7.25
500104026,前港公園(前港街),士林區,00:00,27.0,13.5,12.75
500104027,百齡高中,士林區,00:00,27.0,25.75,1.0
500104028,捷運芝山站(2號出口),士林區,00:00,21.0,19.5,1.5
500104029,臺灣戲曲中心,士林區,00:00,25.0,18.75,6.0
500104030,捷運劍潭站(2號出口),士林區,00:00,49.0,44.5,4.25
500104031,劍潭基河路口,士林區,00:00,66.0,62.0,3.25
500104033,福林國小,士林區,00:00,14.0,4.5,9.5
500104034,中山中正路口,士林區,00:00,19.0,14.0,4.5
500104035,士林運動中心,士林區,00:00,30.0,14.25,15.75
500104036,陽明高中,士林區,00:00,36.0,26.25,9.75
500104037,兒童新樂園,士林區,00:00,23.0,18.5,4.5
