sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500110002,捷運松山站(4號出口),松山區,00:00,19.0,16.25,2.5
500110003,塔悠八德路口,松山區,00:00,34.0,12.5,21.0
500110004,鵬程公園,松山區,00:00,24.0,8.25,14.25
500110005,中崙高中,松山區,00:00,77.0,61.5,15.5
500110006,捷運南京三民站(2號出口),松山區,00:00,19.0,13.75,5.25
500110007,捷運南京三民站(1號出口),松山區,00:00,39.0,36.25,2.75
500110008,光復北路11巷口,松山區,00:00,31.0,17.75,12.25
500110009,捷運南京三民站(4號出口),松山區,00:00,13.0,12.5,0.5
500110010,西松高中,松山區,00:00,14.0,8.25,5.75
500110011,民權復興路口,松山區,00:00,36.0,15.5,20.0
500110012,民福三號綠地,松山區,00:00,20.0,6.5,12.5
500110013,民有一號公園,松山區,00:00,41.0,15.0,25.25
500110014,民生敦化路口,松山區,00:00,66.0,35.25,29.75
500110015,松基公園,松山區,00:00,20.0,16.25,3.5
500110016,三民路166巷口,松山區,00:00,12.0,5.75,6.25
500110017,民生活動中心,松山區,00:00,43.0,30.25,11.5
500110018,捷運小巨蛋站(2號出口),松山區,00:00,26.0,21.5,4.5
500110019,臺北市藝文推廣處,松山區,00:00,45.0,27.75,16.0
500110020,民生國小(敦化北路199巷),松山區,00:00,20.0,9.25,10.75
500110021,敦北公園,松山區,00:00,48.0,38.25,8.5
500110022,民權運動公園,松山區,00:00,44.0,23.25,19.75
500110023,新東公園,松山區,00:00,51.0,11.25,39.25
500110024,民生光復路口,松山區,00:00,33.0,19.0,13.75
500110025,三民公園,松山區,00:00,27.0,6.75,19.25
500110026,八德路三段74巷口,松山區,00:00,17.0,1.0,16.0
500110027,八德路三段8巷口,松山區,00:00,15.0,3.75,11.25
500110028,三軍總醫院(松山分院),松山區,00:00,43.0,31.25,11.0
500110029,平安新城,松山區,00:00,16.0,6.0,7.5
500110030,健康社會住宅,松山區,00:00,20.0,10.0,10.0
500110031,民權光復路口(東北側),松山區,00:00,24.0,17.25,6.25
500110032,市民東興路口,松山區,00:00,30.0,21.0,8.5
500110033,光復南路22巷口,松山區,00:00,29.0,16.25,12.0
500110035,松山新城,松山區,00:00,27.0,9.25,17.25
500110036,國土管理署,松山區,00:00,33.0,15.75,16.75
500110037,南京光復路口,松山區,00:00,31.0,24.75,5.0
500110038,民生立體停車場,松山區,00:00,24.0,12.5,10.5
500110039,健康新城,松山區,00:00,44.0,12.25,30.75
500110040,健安新城,松山區,00:00,30.0,10.75,17.75
500110041,復盛公園,松山區,00:00,37.0,10.5,25.75
500110042,中崙福成宮,松山區,00:00,31.0,4.75,25.5
500110043,捷運南京復興站(7號出口),松山區,00:00,15.0,9.25,5.75
500110044,捷運南京復興站(5號出口),松山區,00:00,52.0,36.25,15.5
500110045,塔悠疏散門,松山區,00:00,32.0,14.0,17.75
500110046,臺北田徑場,松山區,00:00,47.0,41.5,5.5
500110047,捷運小巨蛋站(5號出口),松山區,00:00,22.0,14.75,5.75
500110048,敦化長春路口,松山區,00:00,34.0,27.5,6.0
500110049,饒河疏散門(基四號疏散門),松山區,00:00,19.0,17.25,1.0
500110050,捷運松山站(2號出口),松山區,00:00,14.0,10.0,3.5
500110051,民權東路三段106巷口,松山區,00:00,22.0,18.75,3.25
500110052,南京東路五段59巷口,松山區,00:00,17.0,11.25,5.25
500110053,三民公園(塔悠路),松山區,00:00,20.0,9.0,11.0
500110054,寶清公園,松山區,00:00,19.0,3.5,11.75
500110055,西松公園,松山區,00:00,11.0,5.5,5.5
500110056,長壽公園,松山區,00:00,22.0,11.5,10.5
500110057,復源公園,松山區,00:00,14.0,4.5,8.0
500110058,南京東路四段179巷口,松山區,00:00,13.0,10.5,2.25
500110059,臺北田徑場(北寧路側),松山區,00:00,37.0,28.5,8.25
500110060,西松高中(健康路325巷),松山區,00:00,31.0,16.75,14.0
500110061,南京東興路口,松山區,00:00,30.0,18.0,10.75
500110062,捷運松山站(3號出口),松山區,00:00,52.0,40.25,11.25
500110063,介壽國中,松山區,00:00,30.0,14.25,15.25
500110064,敦化南京路口(東北側),松山區,00:00,25.0,20.25,4.25
500110065,敦化八德路口,松山區,00:00,55.0,47.0,7.75
500110066,新東街51巷口,松山區,00:00,30.0,19.5,9.25
500110067,八德立體停車場,松山區,00:00,34.0,18.0,15.75
500110068,長春慶城街口,松山區,00:00,28.0,23.25,4.25
500110069,八德路四段652巷口,松山區,00:00,20.0,15.25,4.75
500110070,捷運松山站(1號出口),松山區,00:00,15.0,13.75,1.25
500110071,捷運小巨蛋站(3號出口),松山區,00:00,28.0,26.25,1.5
500110072,捷運小巨蛋站(5號出口)_1,松山區,00:00,20.0,17.5,2.5
500110073,敦化北路155巷口,松山區,00:00,30.0,24.75,5.25
500110074,民生復興路口,松山區,00:00,15.0,10.0,5.0
500110076,市民延吉街口,松山區,00:00,30.0,9.5,19.75
500110077,龍城市場,松山區,00:00,22.0,5.25,16.0
500110078,捷運南京三民站(3號出口),松山區,00:00,28.0,14.0,14.0
500110079,塔悠基隆路口(麥帥一橋下),松山區,00:00,20.0,10.0,10.0
500110080,五常街370巷,松山區,00:00,11.0,6.0,5.0
500110081,延壽街119巷口,松山區,00:00,15.0,5.25,8.5
500110082,市民東寧路口,松山區,00:00,23.0,7.5,14.75
500110083,民福簡易綠地,松山區,00:00,15.0,3.0,12.0
500110084,三民國小(撫遠街),松山區,00:00,26.0,8.75,17.25
500110085,民生郵局,松山區,00:00,14.0,4.25,8.25
500110086,民權敦化路口(西北側),松山區,00:00,24.0,17.0,6.5
