sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500113001,德昌寶興街口(西北角),萬華區,00:00,14.0,2.5,9.75
500113002,寶興長泰街口(西南角),萬華區,00:00,17.0,7.0,9.5
500113003,萬大路486巷口,萬華區,00:00,10.0,4.5,5.25
500113004,國興中華路口,萬華區,00:00,22.0,10.0,9.0
500113005,古亭國中,萬華區,00:00,25.0,8.5,15.0
500113006,國興水源路口,萬華區,00:00,23.0,13.75,8.5
500113007,青年公園高爾夫球場,萬華區,00:00,25.0,11.75,11.75
500113008,國興青年路口,萬華區,00:00,51.0,35.25,15.5
500113009,青年公園棒球場,萬華區,00:00,28.0,17.0,10.5
500113010,青年公園籃球場,萬華區,00:00,24.0,21.25,2.75
500113012,復華花園新城,萬華區,00:00,38.0,19.5,17.5
500113013,新和國小,萬華區,00:00,20.0,9.75,7.5
500113014,莒光郵局,萬華區,00:00,22.0,11.0,10.25
500113015,莒光立體停車場,萬華區,00:00,10.0,3.75,4.25
500113016,艋舺大道146巷口,萬華區,00:00,14.0,4.75,9.25
500113017,東園國小,萬華區,00:00,33.0,12.75,18.25
500113018,華中疏散門,萬華區,00:00,12.0,7.0,5.0
500113019,錦德公園,萬華區,00:00,29.0,5.25,14.75
500113020,忠德公園,萬華區,00:00,19.0,5.5,9.0
500113022,華江高中,萬華區,00:00,50.0,23.5,26.25
500113023,西園艋舺路口,萬華區,00:00,50.0,42.25,7.75
500113025,雙園國中,萬華區,00:00,24.0,5.5,18.25
500113026,長順區民活動中心,萬華區,00:00,26.0,15.75,9.75
500113027,華江國小,萬華區,00:00,17.0,5.5,6.75
500113028,華江八號公園,萬華區,00:00,20.0,7.25,8.5
500113029,環河南雙園街口,萬華區,00:00,21.0,9.25,11.5
500113030,大理高中,萬華區,00:00,35.0,27.0,8.0
500113031,糖廍文化園區,萬華區,00:00,18.0,7.0,8.75
500113032,兩棵樹公園,萬華區,00:00,19.0,13.25,5.0
500113033,萬華青年公宅,萬華區,00:00,23.0,7.5,11.5
500113034,開封西寧路口,萬華區,00:00,68.0,36.25,30.25
500113035,峨眉停車場,萬華區,00:00,47.0,29.5,15.75
500113036,長沙公園,萬華區,00:00,30.0,18.5,11.25
500113037,貓公園(中興橋頭),萬華區,00:00,16.0,6.25,9.25
500113038,西本願寺廣場,萬華區,00:00,87.0,84.25,2.5
500113039,中華桂林路口,萬華區,00:00,34.0,28.75,5.0
500113040,捷運龍山寺站(1號出口),萬華區,00:00,33.0,30.75,1.75
500113041,龍山國小,萬華區,00:00,30.0,11.0,19.0
500113042,華西公園,萬華區,00:00,51.0,15.25,32.75
500113043,老松國小,萬華區,00:00,50.0,28.75,21.25
500113044,萬華火車站,萬華區,00:00,53.0,28.0,24.75
500113045,萬華火車站(D2廣場),萬華區,00:00,42.0,35.0,7.0
500113046,捷運龍山寺站(3號出口),萬華區,00:00,32.0,21.0,11.0
500113047,臺北市電影主題公園(峨眉街),萬華區,00:00,20.0,6.25,13.75
500113048,臺北市電影主題公園(康定路),萬華區,00:00,15.0,7.0,7.5
500113049,中華峨眉街口,萬華區,00:00,24.0,20.25,3.75
