sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500105001,台北花木批發市場,文山區,00:00,40.0,11.5,27.5
500105002,捷運萬隆站(4號出口),文山區,00:00,22.0,12.5,9.5
500105003,捷運萬隆站(1號出口),文山區,00:00,34.0,23.0,11.0
500105004,萬和二號公園,文山區,00:00,35.0,9.75,22.25
500105005,捷運萬隆站(2號出口),文山區,00:00,18.0,17.5,0.5
500105006,景仁公園,文山區,00:00,16.0,5.25,10.75
500105007,捷運景美站(2號出口),文山區,00:00,63.0,52.25,10.75
500105008,羅斯福景隆街口,文山區,00:00,50.0,29.75,20.25
500105009,景福街/羅斯福路6段142巷口,文山區,00:00,28.0,5.0,22.0
500105010,興旺公園,文山區,00:00,30.0,7.0,22.5
500105011,興福國中,文山區,00:00,25.0,6.25,17.0
500105012,興隆路2段203巷,文山區,00:00,32.0,7.25,20.75
500105013,景美運動公園,文山區,00:00,26.0,7.75,18.25
500105014,景美醫院,文山區,00:00,18.0,13.75,4.25
500105015,師範大學公館校區,文山區,00:00,14.0,7.0,7.0
500105016,景華街128巷口,文山區,00:00,29.0,9.75,18.75
500105017,仙跡岩登山口(景興路),文山區,00:00,22.0,12.5,9.0
500105018,國立政治大學,文山區,00:00,62.0,49.0,11.75
500105019,捷運動物園站,文山區,00:00,57.0,50.0,6.5
500105020,捷運木柵站,文山區,00:00,31.0,27.25,3.25
500105021,捷運萬芳社區站,文山區,00:00,48.0,41.75,6.25
500105022,文山運動中心,文山區,00:00,36.0,13.0,23.0
500105023,捷運辛亥站,文山區,00:00,42.0,34.75,7.25
500105024,興豐公園,文山區,00:00,25.0,11.0,13.75
500105025,木柵光輝路口,文山區,00:00,33.0,15.5,17.5
500105026,考試院,文山區,00:00,39.0,21.5,17.5
500105027,和興路26巷口,文山區,00:00,39.0,12.5,25.5
500105028,世新大學,文山區,00:00,30.0,19.5,10.5
500105029,一壽橋,文山區,00:00,28.0,7.5,19.25
500105030,臺北市立景美女中,文山區,00:00,25.0,15.25,9.5
500105031,永安藝文館_表演36房,文山區,00:00,29.0,12.25,16.5
500105032,忠順區民活動中心,文山區,00:00,31.0,11.75,19.25
