sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500107001,通北街65巷口,中山區,00:00,16.0,4.25,10.75
500107002,圓山風景區,中山區,00:00,15.0,12.0,3.0
500107003,樂群二堤頂大道口,中山區,00:00,20.0,17.75,2.25
500107004,劍潭社區,中山區,00:00,13.0,4.5,8.5
500107005,培英公園,中山區,00:00,40.0,31.75,8.25
500107006,樂群二明水路口,中山區,00:00,20.0,9.5,10.25
500107007,北安大直街口,中山區,00:00,31.0,20.5,10.5
500107008,捷運劍南路站(2號出口),中山區,00:00,40.0,35.25,4.75
500107009,樂群二敬業三路口,中山區,00:00,20.0,7.75,12.0
500107010,樂群二敬業四路口,中山區,00:00,36.0,9.75,26.0
500107011,捷運大直站(3號出口),中山區,00:00,34.0,22.25,11.25
500107012,復興市民路口,中山區,00:00,52.0,36.25,15.5
500107013,南京遼寧街口,中山區,00:00,42.0,33.5,8.0
500107014,伊通長安路口,中山區,00:00,21.0,15.5,5.0
500107015,新生長安路口,中山區,00:00,30.0,11.25,18.75
500107016,市民林森路口,中山區,00:00,40.0,10.5,29.5
500107017,南京新生路口,中山區,00:00,34.0,11.5,21.25
500107018,一江公園,中山區,00:00,37.0,27.0,10.0
500107020,新生長春路口,中山區,00:00,32.0,9.75,21.0
500107021,第二果菜批發市場,中山區,00:00,40.0,16.0,24.0
500107022,民生建國路口,中山區,00:00,47.0,38.25,8.5
500107023,興安華城,中山區,00:00,62.0,12.5,48.25
500107024,捷運中山國中站,中山區,00:00,61.0,58.5,0.75
500107025,龍江錦州街口,中山區,00:00,16.0,8.25,7.25
500107026,建國長春路口,中山區,00:00,16.0,8.25,7.75
500107027,南京建國路口,中山區,00:00,42.0,33.25,8.75
500107028,捷運松江南京站(7號出口),中山區,00:00,75.0,66.0,8.75
500107029,朱崙商場,中山區,00:00,37.0,21.75,15.25
500107030,中吉公園,中山區,00:00,30.0,6.5,22.75
500107031,華山公園,中山區,00:00,19.0,8.0,8.25
500107032,建國北路一段17巷,中山區,00:00,45.0,29.5,14.5
500107033,江寧公園,中山區,00:00,15.0,5.5,8.25
500107034,民權龍江路口,中山區,00:00,32.0,18.0,14.0
500107035,捷運中山國小站(2號出口),中山區,00:00,59.0,31.5,25.75
500107036,捷運行天宮站(3號出口),中山區,00:00,48.0,42.75,4.75
500107037,林森農安街口,中山區,00:00,23.0,6.5,16.5
500107038,捷運中山國小站(4號出口),中山區,00:00,20.0,12.25,7.5
500107039,農安雙城街口,中山區,00:00,15.0,5.25,9.25
500107040,新生德惠街口,中山區,00:00,35.0,9.75,25.25
500107041,民族林森路口,中山區,00:00,37.0,21.5,15.5
500107042,臺北市立美術館,中山區,00:00,24.0,18.0,5.75
500107043,中山民族路口,中山區,00:00,16.0,9.25,6.75
500107044,新生高架停車場(林森北路107巷口),中山區,00:00,14.0,3.5,10.25
500107045,南京林森路口(東南側),中山區,00:00,10.0,7.25,2.75
500107046,仁德公園,中山區,00:00,18.0,7.0,10.75
500107047,中原公園,中山區,00:00,15.0,3.5,11.5
500107048,下埤公園,中山區,00:00,24.0,4.25,15.25
500107049,五常國中,中山區,00:00,16.0,4.75,11.0
500107050,榮星花園,中山區,00:00,46.0,8.0,31.75
500107051,民權建國路口,中山區,00:00,50.0,25.0,23.0
500107052,松江路431巷口,中山區,00:00,15.0,5.75,9.25
500107053,新喜公園,中山區,00:00,13.0,0.75,9.5
500107054,吉林路407巷口,中山區,00:00,15.0,1.75,8.25
500107055,民族松江路口,中山區,00:00,17.0,9.0,7.75
500107056,林安泰古厝,中山區,00:00,36.0,18.75,16.5
500107058,渭水八德路口,中山區,00:00,23.0,7.0,15.75
500107059,捷運中山站(2號出口),中山區,00:00,33.0,25.25,6.75
500107060,撫順公園,中山區,00:00,30.0,17.75,12.25
500107061,新生公園,中山區,00:00,29.0,6.5,22.5
500107062,捷運行天宮站(1號出口),中山區,00:00,49.0,35.5,12.75
500107063,林森長春路口,中山區,00:00,28.0,21.75,6.25
500107064,建國農安街口,中山區,00:00,50.0,20.5,28.75
500107065,松江路77巷口,中山區,00:00,10.0,7.5,2.5
500107066,建國長安路口,中山區,00:00,20.0,12.0,8.0
500107067,市民新生路口,中山區,00:00,15.0,10.5,2.75
500107068,民權吉林路口,中山區,00:00,15.0,9.5,5.5
500107069,中山農安街口,中山區,00:00,29.0,24.75,3.75
500107070,捷運行政大樓,中山區,00:00,14.0,8.75,4.75
500107071,中吉公園(松江路188巷),中山區,00:00,22.0,9.0,12.75
500107072,吉林路123巷口,中山區,00:00,22.0,4.0,18.0
500107074,中原民生路口,中山區,00:00,15.0,8.5,6.5
500107075,國立臺北大學(臺北校區),中山區,00:00,38.0,30.0,7.5
500107076,錦州吉林路口,中山區,00:00,30.0,6.0,23.25
500107078,永盛公園(民生東路一段23巷),中山區,00:00,24.0,2.25,21.0
500107079,新生錦州街口,中山區,00:00,20.0,5.25,14.75
500107080,濱江街199巷口,中山區,00:00,15.0,5.5,9.5
500107081,大佳社區公園,中山區,00:00,15.0,8.75,6.25
500107082,濱江果菜市場,中山區,00:00,22.0,14.25,7.75
500107083,興安合江路口,中山區,00:00,29.0,7.0,19.25
500107084,復興北路514巷口東側,中山區,00:00,12.0,2.0,8.5
500107085,台泥大樓,中山區,00:00,18.0,15.0,3.0
500107086,植福樂群路口,中山區,00:00,10.0,7.25,2.75
500107087,新興公園,中山區,00:00,26.0,5.25,20.5
500107088,南京伊通街口,中山區,00:00,11.0,9.5,1.5
500107089,南京龍江路口,中山區,00:00,24.0,14.25,9.5
500107090,撫順街41巷(崇德宮前),中山區,00:00,19.0,12.5,6.0
500107091,臺北市立圖書館大直分館,中山區,00:00,20.0,14.0,5.25
500107092,捷運大直站(1號出口),中山區,00:00,27.0,21.5,5.5
500107093,捷運松江南京站(4號出口),中山區,00:00,32.0,23.0,8.75
500107095,中429公園,中山區,00:00,21.0,12.75,7.5
500107096,長春路137巷口,中山區,00:00,23.0,5.5,17.25
500107097,松江民生路口,中山區,00:00,21.0,13.5,7.5
500107098,松江路132巷口,中山區,00:00,14.0,8.5,5.25
500107099,長春吉林路口,中山區,00:00,10.0,3.75,6.0
500107100,長春一江街口,中山區,00:00,11.0,7.25,3.75
500107101,捷運松江南京站(8號出口),中山區,00:00,29.0,23.25,5.75
500107102,南京一江街口,中山區,00:00,20.0,16.0,4.0
500107103,松江長春路口,中山區,00:00,16.0,11.25,4.75
500107104,經國七海文化園區,中山區,00:00,15.0,9.5,5.25
500107105,民族玉門街口,中山區,00:00,20.0,12.25,7.75
500107106,新生農安街口,中山區,00:00,15.0,6.5,8.5
500107107,稻江高級護理家事職業學校,中山區,00:00,14.0,4.0,9.25
500107108,捷運大直站(3號出口)_1,中山區,00:00,18.0,12.5,5.5
500107109,樂群二明水路口_1,中山區,00:00,34.0,19.5,14.5
500107110,民權吉林路口(南側),中山區,00:00,16.0,5.5,10.25
500107111,長春龍江路口,中山區,00:00,39.0,25.75,12.75
500107112,民權新生路口,中山區,00:00,26.0,19.75,6.25
500107113,建國長春路口(北側),中山區,00:00,30.0,18.5,10.5
500107114,中山行政中心,中山區,00:00,30.0,15.0,14.75
500107115,臺北市立美術館_1,中山區,00:00,30.0,15.75,14.0
500107116,劍潭社區_1,中山區,00:00,42.0,12.25,28.75
500107117,濱江國小游泳池,中山區,00:00,16.0,7.0,9.0
500107118,林森公園,中山區,00:00,42.0,15.5,24.25
500107119,中428公園,中山區,00:00,15.0,7.0,7.75
500107120,復華公園,中山區,00:00,20.0,15.5,3.75
500107121,新生民族路口(西南側),中山區,00:00,15.0,7.0,7.75
500107122,捷運南京復興站(1號出口),中山區,00:00,21.0,18.5,2.5
