sno,sna,sarea,interval_time,total,demand_borrow,demand_return
500106001,臺北自來水事業處,中正區,00:00,20.0,15.25,4.75
500106002,汀州思源街口東南側,中正區,00:00,20.0,13.25,6.75
500106003,捷運公館站(1號出口),中正區,00:00,12.0,8.75,3.25
500106004,捷運公館站(4號出口),中正區,00:00,12.0,8.25,3.75
500106005,捷運古亭站(9號出口),中正區,00:00,24.0,21.5,2.5
500106006,捷運古亭站(2號出口),中正區,00:00,55.0,46.25,8.5
500106007,捷運臺電大樓站(1號出口),中正區,00:00,34.0,16.25,17.75
500106008,客家文化主題公園,中正區,00:00,31.0,20.5,10.5
500106009,河堤國小,中正區,00:00,39.0,11.75,27.25
500106010,紀州庵,中正區,00:00,45.0,15.25,29.25
500106011,捷運臺電大樓站(5號出口),中正區,00:00,21.0,15.0,6.0
500106012,捷運臺電大樓站(4號出口),中正區,00:00,13.0,7.75,5.25
500106013,羅斯福三段金門街口,中正區,00:00,15.0,7.75,4.25
500106014,牯嶺公園,中正區,00:00,58.0,19.25,23.0
500106015,捷運古亭站(8號出口),中正區,00:00,15.0,13.25,1.75
500106016,捷運古亭站(7號出口),中正區,00:00,12.0,9.25,2.75
500106017,南昌公園,中正區,00:00,55.0,51.5,3.5
500106018,和平重慶路口,中正區,00:00,69.0,31.75,37.25
500106019,孫立人將軍官邸,中正區,00:00,23.0,13.5,9.5
500106020,羅斯福路二段6巷口,中正區,00:00,22.0,13.75,8.0
500106021,金華杭州南路口,中正區,00:00,35.0,17.0,18.0
500106022,捷運中正紀念堂站(3號出口),中正區,00:00,36.0,33.5,2.5
500106023,捷運中正紀念堂站(4號出口),中正區,00:00,23.0,16.0,7.0
500106025,螢橋國小,中正區,00:00,41.0,13.5,26.5
500106026,古亭智慧圖書館,中正區,00:00,21.0,5.0,13.5
500106027,永昌公園,中正區,00:00,29.0,6.25,16.75
500106028,中華路二段409巷口,中正區,00:00,15.0,3.25,5.75
500106029,南機場夜市(中華路二段),中正區,00:00,41.0,23.0,12.5
500106030,南海和平路口西南側,中正區,00:00,19.0,12.5,6.5
500106031,莒光和平路口,中正區,00:00,20.0,14.75,5.25
500106037,水源路11_1號旁,中正區,00:00,31.0,12.0,18.5
500106038,南門國中,中正區,00:00,40.0,28.5,11.5
500106039,捷運小南門站(2號出口),中正區,00:00,24.0,15.5,8.25
500106040,介壽公園,中正區,00:00,35.0,29.75,5.0
500106041,中華貴陽街口,中正區,00:00,20.0,17.0,2.75
500106042,華山文創園區,中正區,00:00,39.0,30.5,8.25
500106043,捷運善導寺站(1號出口),中正區,00:00,46.0,41.0,4.0
500106044,濟南紹興路口,中正區,00:00,39.0,26.25,12.75
500106046,林森仁愛路口,中正區,00:00,13.0,11.0,2.0
500106047,中正運動中心,中正區,00:00,40.0,36.75,3.25
500106048,信義杭州路口,中正區,00:00,59.0,53.0,6.0
500106049,捷運善導寺站(3號出口),中正區,00:00,20.0,15.0,5.0
500106050,捷運小南門站(1號出口),中正區,00:00,46.0,27.5,18.5
500106051,延平南路133巷口,中正區,00:00,36.0,33.75,2.25
500106052,捷運西門站(2號出口),中正區,00:00,36.0,32.25,3.75
500106053,寶慶博愛路口,中正區,00:00,47.0,43.25,3.75
500106054,法務部,中正區,00:00,27.0,24.25,2.25
500106055,臺北市立大學(博愛校區),中正區,00:00,81.0,74.0,7.0
500106056,國家圖書館,中正區,00:00,36.0,32.25,3.25
500106057,市民金山路口,中正區,00:00,70.0,56.5,13.5
500106058,聯合醫院和平院區,中正區,00:00,32.0,19.0,12.75
500106059,中山堂,中正區,00:00,43.0,41.75,1.0
500106060,中華漢口街口,中正區,00:00,19.0,15.5,3.5
500106061,中華路一段21巷口,中正區,00:00,22.0,19.75,2.25
500106062,捷運臺大醫院站(4號出口),中正區,00:00,60.0,56.25,3.5
500106063,寶藏巖觀音亭,中正區,00:00,23.0,15.25,6.75
500106064,師大水源路口,中正區,00:00,28.0,13.5,10.0
500106065,中山徐州路口,中正區,00:00,41.0,38.25,2.75
500106066,信義連雲街口,中正區,00:00,39.0,17.0,21.25
500106067,臺北轉運站,中正區,00:00,68.0,39.5,28.25
500106068,莒光大埔街口,中正區,00:00,32.0,15.0,16.0
500106069,捷運忠孝新生站(2號出口),中正區,00:00,32.0,16.75,15.25
500106070,光華商場,中正區,00:00,39.0,31.25,7.0
500106071,中山青島路口,中正區,00:00,40.0,34.0,5.5
500106072,捷運中正紀念堂站(5號出口),中正區,00:00,29.0,23.75,5.0
500106073,北平東杭州北路口,中正區,00:00,20.0,17.25,2.75
500106074,王貫英先生紀念圖書館,中正區,00:00,15.0,5.25,7.25
500106075,金山信義路口,中正區,00:00,25.0,15.5,9.25
500106077,林森徐州路口,中正區,00:00,32.0,16.25,15.75
500106078,徐州杭州路口,中正區,00:00,30.0,22.25,7.75
500106079,捷運中正紀念堂站(6號出口),中正區,00:00,17.0,13.5,3.5
500106080,捷運臺北車站(M2出口),中正區,00:00,20.0,18.0,2.0
500106083,臺北市國父史蹟館(逸仙公園),中正區,00:00,31.0,19.0,12.0
500106084,捷運西門站(5號出口),中正區,00:00,30.0,28.0,0.75
500106085,弘道國中,中正區,00:00,33.0,27.5,5.5
500106086,臺北市第一女子高級中學,中正區,00:00,28.0,24.75,3.25
500106087,台北市替代役中心,中正區,00:00,15.0,4.5,10.5
500106088,紹興徐州路口,中正區,00:00,18.0,7.5,10.5
500106089,羅斯福寧波東街口,中正區,00:00,26.0,14.5,11.5
500106090,自來水園區,中正區,00:00,40.0,27.25,12.25
500106091,仁愛林森路口,中正區,00:00,31.0,28.5,2.5
500106092,捷運西門站(3號出口),中正區,00:00,36.0,34.5,1.0
500106093,仁愛金山路口,中正區,00:00,9.0,5.5,3.25
500106094,杭州南路一段101巷口,中正區,00:00,14.0,6.25,7.5
500106095,仁愛杭州路口,中正區,00:00,25.0,6.0,19.0
500106096,龍興里活動中心,中正區,00:00,21.0,5.5,13.0
500106097,植物園,中正區,00:00,29.0,8.0,21.0
500106098,郵政博物館,中正區,00:00,24.0,16.75,7.0
500106099,林森北平路口,中正區,00:00,20.0,16.25,3.75
500106100,北平紹興路口,中正區,00:00,39.0,35.75,3.25
500106101,天津北平路口,中正區,00:00,25.0,19.75,5.25
500106102,捷運忠孝新生站(1號出口),中正區,00:00,19.0,14.0,5.0
500106103,捷運忠孝新生站(5號出口),中正區,00:00,13.0,8.25,4.25
500106104,捷運臺大醫院站(1號出口),中正區,00:00,19.0,15.0,4.0
500106105,臺大醫院兒童醫院,中正區,00:00,22.0,17.0,5.0
500106106,林森濟南路口(東北側),中正區,00:00,26.0,16.5,9.5
500106107,仁愛紹興街口(南側),中正區,00:00,17.0,16.0,1.0
500106108,中華南海路口,中正區,00:00,15.0,4.25,5.75
500106109,立法院台北會館,中正區,00:00,15.0,9.0,6.0
500106110,捷運善導寺站(3號出口)(忠孝東路側),中正區,00:00,31.0,26.75,3.75
500106111,國家音樂廳,中正區,00:00,22.0,18.75,2.75
500106112,忠孝西重慶南路口,中正區,00:00,33.0,23.0,9.75
500106113,濟南路二段8巷口,中正區,00:00,14.0,4.25,9.75
500106114,仁愛金山路口(東南側),中正區,00:00,14.0,4.75,9.25
500106115,臺灣文學基地,中正區,00:00,23.0,8.5,14.0
500106116,重慶南詔安街口,中正區,00:00,19.0,2.75,13.75
