sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_return_bikes,srcUpdateTime
500101001,大安區,YouBike2.0_捷運科技大樓站,25.02605,121.5436,28.0,6.25,21.583333333333332,2025-05-22 22:46:29
500101002,大安區,YouBike2.0_復興南路二段273號前,25.02565,121.54357,21.0,9.25,11.416666666666666,2025-05-22 22:46:29
500101003,大安區,YouBike2.0_國北教大實小東側門,25.02429,121.54124,28.0,10.75,17.25,2025-05-22 22:46:29
500101004,大安區,YouBike2.0_和平公園東側,25.02351,121.54282,11.0,6.416666666666667,4.583333333333333,2025-05-22 22:46:29
500101005,大安區,YouBike2.0_辛亥復興路口西北側,25.02153,121.54299,16.0,4.083333333333333,11.75,2025-05-22 22:46:29
500101006,大安區,YouBike2.0_復興南路二段280號前,25.02429,121.54328,27.0,5.333333333333333,21.666666666666668,2025-05-22 22:46:29
500101007,大安區,YouBike2.0_復興南路二段340巷口,25.02253,121.54326,11.0,3.0,8.0,2025-05-22 22:46:29
500101008,大安區,YouBike2.0_新生南路三段52號前,25.02112,121.53407,17.0,9.0,7.5,2025-05-22 22:46:29
500101009,大安區,YouBike2.0_新生南路三段66號前,25.01976,121.53384,16.0,4.333333333333333,11.333333333333334,2025-05-22 22:46:29
500101010,大安區,YouBike2.0_新生南路三段82號前,25.01894,121.53361,20.0,3.0,16.166666666666668,2025-05-22 22:46:29
500101012,大安區,YouBike2.0_辛亥路一段30號前,25.01986,121.52982,8.0,5.0,3.0,2025-05-22 22:46:29
500101013,大安區,YouBike2.0_和平復興路口西北側,25.02543,121.54332,9.0,5.0,3.8333333333333335,2025-05-22 22:46:29
500101014,大安區,YouBike2.0_羅斯福路三段311號前,25.01717,121.53202,11.0,3.4166666666666665,7.583333333333333,2025-05-22 22:46:29
500101015,大安區,YouBike2.0_大安運動中心停車場,25.02089,121.54697,19.0,5.416666666666667,13.583333333333334,2025-05-22 22:46:29
500101016,大安區,YouBike2.0_羅斯福路三段245號前,25.01927,121.52989,8.0,2.0,6.0,2025-05-22 22:46:29
500101018,大安區,YouBike2.0_溫州公園,25.01895,121.53156,5.0,2.4166666666666665,2.5833333333333335,2025-05-22 22:46:29
500101019,大安區,YouBike2.0_和平臥龍街口,25.024461,121.546705,24.0,12.5,11.5,2025-05-22 22:46:29
500101021,大安區,YouBike2.0_銘傳國小側門,25.01385,121.53549,7.0,1.9166666666666667,4.916666666666667,2025-05-22 22:46:29
500101022,大安區,YouBike2.0_捷運公館站(2號出口),25.01491,121.53438,99.0,13.083333333333334,60.75,2025-05-22 22:46:29
500101023,大安區,YouBike2.0_第二學生活動中心,25.01244,121.53661,25.0,5.25,19.583333333333332,2025-05-22 22:46:29
500101024,大安區,YouBike2.0_臺灣科技大學正門,25.01451,121.54142,50.0,3.1666666666666665,46.833333333333336,2025-05-22 22:46:29
500101025,大安區,YouBike2.0_臺灣科技大學側門,25.01295,121.53973,99.0,5.833333333333333,92.83333333333333,2025-05-22 22:46:29
500101026,大安區,YouBike2.0_公館公園,25.01137,121.54062,30.0,14.166666666666666,15.416666666666666,2025-05-22 22:46:29
500101027,大安區,YouBike2.0_臺灣科技大學後門,25.01182,121.54165,39.0,17.333333333333332,21.416666666666668,2025-05-22 22:46:29
500101028,大安區,YouBike2.0_臺大醫學院附設癌醫中心,25.01426,121.54382,20.0,3.0,17.0,2025-05-22 22:46:29
500101029,大安區,YouBike2.0_臺大環研大樓,25.01234,121.54503,15.0,4.416666666666667,10.583333333333334,2025-05-22 22:46:29
500101030,大安區,YouBike2.0_臺大永齡生醫工程館,25.0136,121.54656,34.0,10.583333333333334,22.916666666666668,2025-05-22 22:46:29
500101031,大安區,YouBike2.0_臺大男七舍前,25.01537,121.54698,20.0,17.0,2.8333333333333335,2025-05-22 22:46:29
500101032,大安區,YouBike2.0_臺大男一舍前,25.01637,121.54535,61.0,56.5,3.8333333333333335,2025-05-22 22:46:29
500101033,大安區,YouBike2.0_臺大男六舍前,25.01664,121.5452,40.0,29.416666666666668,9.333333333333334,2025-05-22 22:46:29
500101034,大安區,YouBike2.0_臺大動物醫院前,25.01576,121.54291,18.0,2.0833333333333335,15.666666666666666,2025-05-22 22:46:29
