time,sno,sna,hide,release
00:00,500101001,捷運科技大樓站,0.0,7.75
00:00,500101002,復興南路二段273號前,0.0,6.75
00:00,500101003,國北教大實小東側門,0.0,4.5
00:00,500101005,辛亥復興路口西北側,0.0,4.0
00:00,500101006,復興南路二段280號前,0.0,10.0
00:00,500101007,復興南路二段340巷口,0.0,3.0
00:00,500101008,新生南路三段52號前,0.0,0.75
00:00,500101009,新生南路三段66號前,0.0,3.5
00:00,500101010,新生南路三段82號前,0.0,8.0
00:00,500101012,辛亥路一段30號前,0.0,3.0
00:00,500101014,羅斯福路三段311號前,0.0,4.0
00:00,500101015,大安運動中心停車場,0.0,5.0
00:00,500101016,羅斯福路三段245號前,0.0,3.0
00:00,500101018,溫州公園,0.0,1.25
00:00,500101021,銘傳國小側門,0.0,2.0
00:00,500101022,捷運公館站(2號出口),0.0,34.0
00:00,500101023,第二學生活動中心,0.0,4.25
00:00,500101024,臺灣科技大學正門,0.0,20.0
00:00,500101028,臺大醫學院附設癌醫中心,0.0,8.0
00:00,500101029,臺大環研大樓,0.0,4.5
00:00,500101030,臺大永齡生醫工程館,0.0,10.5
00:00,500101034,臺大動物醫院前,0.0,7.0
00:00,500101035,臺大土木研究大樓前,0.0,8.25
00:00,500101036,臺大萬才館前,0.0,6.5
00:00,500101037,臺大國青大樓宿舍前,0.0,1.75
00:00,500101038,臺大社科院圖書館前,0.0,10.0
00:00,500101039,臺大法人語言訓練中心前,0.0,11.0
00:00,500101040,臺大綜合體育館停車場前,0.0,8.0
00:00,500101041,辛亥新生路口東南側,0.0,15.5
00:00,500101042,基隆長興路口東側,0.0,2.25
00:00,500101091,國北教大側門南側,0.0,4.25
00:00,500101092,和平實小東北側,0.0,3.25
00:00,500101093,大安區健康服務中心,0.0,9.0
00:00,500101094,辛亥泰順街口,0.0,0.25
00:00,500101098,臥龍公園,0.0,5.5
00:00,500101100,捷運麟光站(2號出口),0.0,3.5
00:00,500101101,捷運六張犁站,0.0,20.0
00:00,500101104,捷運臺電大樓站(2號出口),0.0,4.25
00:00,500101105,和平金山路口,0.0,11.0
00:00,500101107,和平龍泉街口,0.0,4.75
00:00,500101109,臺灣師範大學(圖書館),0.0,8.75
00:00,500101110,捷運古亭站(6號出口),0.0,24.0
00:00,500101114,新生和平路口東北側,0.0,18.5
00:00,500101115,建國和平路口西北側,0.0,18.0
00:00,500101118,金甌女中,0.0,4.75
00:00,500101120,愛國金山路口,0.0,17.0
00:00,500101122,敦化南路二段293巷口南側,0.0,5.0
00:00,500101123,敦化基隆路口,0.0,11.0
00:00,500101124,安和路二段181巷口,0.0,9.5
00:00,500101126,臨江街夜市(基隆路),0.0,4.75
00:00,500101127,台北科技大學億光大樓,0.0,8.0
00:00,500101128,新生南路一段119巷口,0.0,6.5
00:00,500101129,幸安國小(仁愛路),0.0,4.0
00:00,500101131,復興南路1段340巷口,0.0,20.0
00:00,500101132,建國濟南路口,0.0,20.75
00:00,500101133,捷運忠孝復興站(2號出口),0.0,17.0
00:00,500101134,捷運大安站(4號出口),0.0,5.0
00:00,500101135,捷運大安站(2號出口),0.0,10.0
00:00,500101136,信義大安路口(信維大樓),0.0,4.25
00:00,500101137,龍門廣場,0.0,28.0
00:00,500101138,仁愛安和路口,0.0,13.0
00:00,500101139,信義敦化路口,0.0,17.25
00:00,500101140,仁愛國中,0.0,10.0
00:00,500101141,捷運信義安和站(2號出口),0.0,1.0
00:00,500101144,捷運大安森林公園站(2號出口),0.0,13.25
00:00,500101145,信義延吉街口,0.0,1.25
00:00,500101146,光信公園(光復南路456巷),0.0,10.0
00:00,500101147,僑安地下停車場(2號出口)東南側,0.0,8.0
00:00,500101148,建國南路一段279巷口,0.0,7.25
00:00,500101149,捷運忠孝新生站(6號出口),0.0,3.0
00:00,500101150,捷運忠孝新生站(4號出口),0.0,18.0
00:00,500101151,大安高工,0.0,9.0
00:00,500101152,捷運忠孝新生站(3號出口),0.0,17.0
00:00,500101153,瑠公公園,0.0,6.5
00:00,500101154,敦化市民路口,0.0,2.5
00:00,500101155,捷運大安森林公園站(5號出口),0.0,6.0
00:00,500101156,信義建國路口,0.0,20.0
00:00,500101157,東豐公園,0.0,0.25
