from_sno,to_sno,from_sna,to_sna,time,quantity
500101001,500101002,捷運科技大樓站,復興南路二段273號前,00:00,6
500101001,500101003,捷運科技大樓站,國北教大實小東側門,00:00,7
500101001,500101201,捷運科技大樓站,信義路三段134巷口,00:00,2
500101001,500101213,捷運科技大樓站,懷生國中,00:00,6
500101002,500101219,復興南路二段273號前,羅斯福路四段113巷19弄口,00:00,2
500101004,500101025,和平公園東側,臺灣科技大學側門,00:00,1
500101005,500101258,辛亥復興路口西北側,新生南路二段54巷口,00:00,2
500101010,500101206,新生南路三段82號前,捷運大安站(3號出口),00:00,7
500101015,500101250,大安運動中心停車場,國立臺北教育大學創意館,00:00,15
500101027,500101120,臺灣科技大學後門,愛國金山路口,00:00,18
500101036,500101137,臺大萬才館前,龍門廣場,00:00,1
500101097,500101006,臥龍樂業街口,復興南路二段280號前,00:00,4
500101100,500101114,捷運麟光站(2號出口),新生和平路口東北側,00:00,16
500101104,500101025,捷運臺電大樓站(2號出口),臺灣科技大學側門,00:00,20
500101126,500101133,臨江街夜市(基隆路),捷運忠孝復興站(2號出口),00:00,3
500101144,500101192,捷運大安森林公園站(2號出口),和平敦化路口,00:00,6
500101176,500101132,芳蘭山莊,建國濟南路口,00:00,20
500101180,500101127,仁愛路四段48巷口,台北科技大學億光大樓,00:00,5
500101191,500101203,大安運動中心,臺北遠企購物中心,00:00,6
500101197,500101001,忠孝東路四段49巷口,捷運科技大樓站,00:00,2
500101219,500101101,羅斯福路四段113巷19弄口,捷運六張犁站,00:00,18
500101225,500101105,敦化南路一段295巷口,和平金山路口,00:00,4
500101253,500101150,大安路二段90巷口,捷運忠孝新生站(4號出口),00:00,20
500101253,500101152,大安路二段90巷口,捷運忠孝新生站(3號出口),00:00,6
500101254,500101188,師大附中運動中心,辛亥路三段157巷口,00:00,5
500101259,500101211,臺靜農人文會館,原臺北刑務所官舍,00:00,4
500101032,500101098,臺大男一舍前,臥龍公園,00:30,5
500101097,500101149,臥龍樂業街口,捷運忠孝新生站(6號出口),00:30,2
500101033,500101100,臺大男六舍前,捷運麟光站(2號出口),01:30,2
500101257,500101251,龍圖公園,捷運忠孝復興站(1號出口),02:00,1
500101040,500101091,臺大綜合體育館停車場前,國北教大側門南側,13:30,2
