from_sno,to_sno,from_sna,to_sna,time,quantity
500103001,500103002,延平國宅,臺北市立圖書館大同分館,00:00,15
500103001,500103022,延平國宅,大龍老人住宅,00:00,4
500103001,500103047,延平國宅,承德民權路口,00:00,17
500103001,500103053,延平國宅,捷運中山站(5號出口),00:00,6
500103002,500103021,臺北市立圖書館大同分館,大稻埕公園,00:00,6
500103002,500103023,臺北市立圖書館大同分館,大龍峒社會住宅,00:00,13
500103002,500103045,臺北市立圖書館大同分館,歸綏戲曲公園,00:00,6
500103002,500103069,臺北市立圖書館大同分館,民權西路160巷口,00:00,3
500103002,500103073,臺北市立圖書館大同分館,民族西大龍街口,00:00,5
500103002,500103074,臺北市立圖書館大同分館,承德路三段324巷口,00:00,12
500103003,500103060,合昌宮,成淵高中,00:00,7
500103003,500103062,合昌宮,寧夏涼州街口,00:00,4
500103003,500103066,合昌宮,南京西寧北路口(西北側),00:00,3
500103004,500103025,民族延平路口,捷運大橋頭站(1A出口),00:00,8
500103004,500103072,民族延平路口,酒泉庫倫街口,00:00,3
500103006,500103050,樹德公園,太原五原路口,00:00,10
500103006,500103056,樹德公園,大同16號廣場,00:00,5
500103007,500103059,陳天來故居,承德鄭州路口(市民高架下),00:00,5
500103008,500103003,臺北孔廟,合昌宮,00:00,1
500103008,500103031,臺北孔廟,大龍公園,00:00,7
500103008,500103043,臺北孔廟,重慶保安街口(家樂福重慶店),00:00,4
500103008,500103051,臺北孔廟,臺北轉運站(華陰街),00:00,6
500103009,500103034,捷運圓山站(1號出口),圓環站,00:00,9
500103009,500103078,捷運圓山站(1號出口),明倫高中,00:00,14
500103011,500103026,重慶國中,捷運民權西路站(2號出口),00:00,15
500103011,500103038,重慶國中,國順公園,00:00,1
500103013,500103033,台北數位產業園區,圓山線形公園,00:00,6
500103021,500103030,大稻埕公園,永樂市場,00:00,11
500103022,500103029,大龍老人住宅,朝陽公園,00:00,4
500103022,500103044,大龍老人住宅,大稻埕碼頭,00:00,19
500103023,500103076,大龍峒社會住宅,玉泉公園(忠孝西路),00:00,9
500103025,500103028,捷運大橋頭站(1A出口),捷運北門站(3號出口),00:00,20
500103026,500103005,捷運民權西路站(2號出口),重慶酒泉街口,00:00,6
500103026,500103052,捷運民權西路站(2號出口),捷運民權西路站(3號出口),00:00,2
500103028,500103011,捷運北門站(3號出口),重慶國中,00:00,20
500103028,500103052,捷運北門站(3號出口),捷運民權西路站(3號出口),00:00,20
500103029,500103008,朝陽公園,臺北孔廟,00:00,6
500103035,500103012,重慶民族路口,重慶北路三段383巷口,00:00,5
500103037,500103009,太原廣場,捷運圓山站(1號出口),00:00,13
500103037,500103055,太原廣場,承德昌吉街口,00:00,6
500103038,500103039,國順公園,聯合醫院中興院區,00:00,8
500103040,500103042,蔣渭水紀念公園,大同運動中心,00:00,5
500103041,500103046,迪化休閒運動公園,民權國中(民權西路),00:00,8
500103042,500103054,大同運動中心,重慶長安路口,00:00,6
500103043,500103032,重慶保安街口(家樂福重慶店),重慶涼州街口,00:00,3
500103043,500103037,重慶保安街口(家樂福重慶店),太原廣場,00:00,7
500103046,500103009,民權國中(民權西路),捷運圓山站(1號出口),00:00,20
500103047,500103064,承德民權路口,大同行政中心,00:00,3
500103049,500103010,承德民生西路口,酒泉延平路口,00:00,10
500103050,500103007,太原五原路口,陳天來故居,00:00,6
500103052,500103041,捷運民權西路站(3號出口),迪化休閒運動公園,00:00,4
500103059,500103028,承德鄭州路口(市民高架下),捷運北門站(3號出口),00:00,6
500103059,500103036,承德鄭州路口(市民高架下),承德路三段8巷口,00:00,8
500103062,500103011,寧夏涼州街口,重慶國中,00:00,9
500103064,500103013,大同行政中心,台北數位產業園區,00:00,5
500103065,500103049,大龍市場,承德民生西路口,00:00,7
500103068,500103063,哈密街23巷19弄口,延平涼州街口,00:00,2
500103070,500103065,重慶北路三段205巷口,大龍市場,00:00,1
500103072,500103040,酒泉庫倫街口,蔣渭水紀念公園,00:00,10
500103074,500103019,承德路三段324巷口,民權延平路口(西北側),00:00,4
500103074,500103071,承德路三段324巷口,承德路二段91巷口,00:00,9
500103074,500103075,承德路三段324巷口,玉泉公園(鄭州路),00:00,10
500103075,500103035,玉泉公園(鄭州路),重慶民族路口,00:00,5
500103075,500103061,玉泉公園(鄭州路),雙蓮國小,00:00,3
