from_sno,to_sno,from_sna,to_sna,time,quantity
500112001,500112006,黎忠區民活動中心,景勤二號公園,00:00,6
500112001,500112056,黎忠區民活動中心,基隆忠孝路口西南側,00:00,5
500112001,500112062,黎忠區民活動中心,松山永吉路口,00:00,5
500112001,500112063,黎忠區民活動中心,松山路292巷口,00:00,1
500112001,500112067,黎忠區民活動中心,松德虎林街口,00:00,5
500112001,500112073,黎忠區民活動中心,仁愛逸仙路口,00:00,12
500112001,500112075,黎忠區民活動中心,信義基隆路口,00:00,9
500112001,500112079,黎忠區民活動中心,協和祐德高級中學,00:00,2
500112001,500112089,黎忠區民活動中心,忠孝東路五段215巷口,00:00,6
500112001,500112091,黎忠區民活動中心,松仁松平路口,00:00,2
500112001,500112106,黎忠區民活動中心,中坡北永吉路口,00:00,3
500112001,500112114,黎忠區民活動中心,仁愛路四段512巷,00:00,2
500112002,500112032,基隆路二段159巷口,市府松高路口,00:00,20
500112002,500112123,基隆路二段159巷口,松山松隆路口,00:00,5
500112003,500112028,嘉興街175巷口,永春陂濕地公園,00:00,5
500112003,500112068,嘉興街175巷口,富台公園,00:00,12
500112004,500112030,和平東路三段631巷口,松智松壽路口,00:00,19
500112006,500112009,景勤二號公園,松德站,00:00,15
500112007,500112015,臺北醫學大學,松德路200巷,00:00,20
500112007,500112070,臺北醫學大學,捷運永春站(2號出口),00:00,7
500112008,500112007,三興公園,臺北醫學大學,00:00,6
500112008,500112065,三興公園,松德公園,00:00,14
500112010,500112082,捷運象山站(2號出口),臺北南山廣場_1,00:00,9
500112010,500112103,捷運象山站(2號出口),臺北文化體育園區辦公大樓,00:00,12
500112011,500112004,象山公園,和平東路三段631巷口,00:00,1
500112011,500112031,象山公園,市府松壽路口,00:00,7
500112011,500112069,象山公園,基隆路一段101巷口,00:00,8
500112013,500112033,興雅國中,市民廣場,00:00,18
500112013,500112093,興雅國中,捷運市政府站(4號出口),00:00,5
500112017,500112081,台北市災害應變中心,松仁路95巷口,00:00,13
500112017,500112098,台北市災害應變中心,永吉路468巷口,00:00,1
500112023,500112086,仁愛路四段496巷口,五分埔公園,00:00,3
500112024,500112011,松山工農,象山公園,00:00,19
500112024,500112085,松山工農,捷運市政府站(3號出口),00:00,8
500112029,500112049,臺北市政府,松山車站,00:00,20
500112030,500112042,松智松壽路口,松高路(信義新天地A4館),00:00,1
500112037,500112036,春光公園,捷運台北101/世貿站(5號出口),00:00,6
500112042,500112092,松高路(信義新天地A4館),信義松德路口,00:00,3
500112043,500112013,興雅松仁路口,興雅國中,00:00,3
500112045,500112127,吳興公車總站,永吉路120巷15弄口,00:00,3
500112047,500112066,興雅國小(基隆路一段37巷),世貿三館,00:00,19
500112048,500112016,雅祥公園(松信路50巷口),中全公園,00:00,3
500112052,500112029,三興國小,臺北市政府,00:00,11
500112053,500112085,市民松信路口,捷運市政府站(3號出口),00:00,20
500112053,500112124,市民松信路口,松智松平路口,00:00,6
500112055,500112024,基隆光復路口,松山工農,00:00,9
500112055,500112118,基隆光復路口,光復仁愛路口,00:00,11
500112064,500112076,捷運象山站(3號出口),捷運台北101/世貿站(2號出口),00:00,16
500112068,500112014,富台公園,捷運象山站(1號出口),00:00,2
