from_sno,to_sno,from_sna,to_sna,time,quantity
500106001,500106008,臺北自來水事業處,客家文化主題公園,00:00,6
500106001,500106041,臺北自來水事業處,中華貴陽街口,00:00,3
500106001,500106061,臺北自來水事業處,中華路一段21巷口,00:00,6
500106001,500106079,臺北自來水事業處,捷運中正紀念堂站(6號出口),00:00,4
500106001,500106080,臺北自來水事業處,捷運臺北車站(M2出口),00:00,3
500106001,500106104,臺北自來水事業處,捷運臺大醫院站(1號出口),00:00,5
500106001,500106131,臺北自來水事業處,仁愛紹興路口(北側),00:00,3
500106002,500106001,汀州思源街口東南側,臺北自來水事業處,00:00,4
500106002,500106098,汀州思源街口東南側,郵政博物館,00:00,3
500106002,500106136,汀州思源街口東南側,公館水岸廣場,00:00,8
500106002,500106137,汀州思源街口東南側,捷運小南門站(3號出口),00:00,5
500106003,500106002,捷運公館站(1號出口),汀州思源街口東南側,00:00,5
500106003,500106020,捷運公館站(1號出口),羅斯福路二段6巷口,00:00,4
500106004,500106069,捷運公館站(4號出口),捷運忠孝新生站(2號出口),00:00,2
500106005,500106060,捷運古亭站(9號出口),中華漢口街口,00:00,2
500106007,500106133,捷運臺電大樓站(1號出口),國立臺灣博物館南門館,00:00,4
500106008,500106102,客家文化主題公園,捷運忠孝新生站(1號出口),00:00,6
500106008,500106111,客家文化主題公園,國家音樂廳,00:00,8
500106008,500106138,客家文化主題公園,臨沂街停車場,00:00,11
500106009,500106031,河堤國小,莒光和平路口,00:00,5
500106010,500106055,紀州庵,臺北市立大學(博愛校區),00:00,20
500106011,500106105,捷運臺電大樓站(5號出口),臺大醫院兒童醫院,00:00,2
500106013,500106007,羅斯福三段金門街口,捷運臺電大樓站(1號出口),00:00,4
500106016,500106101,捷運古亭站(7號出口),天津北平路口,00:00,6
500106018,500106089,和平重慶路口,羅斯福寧波東街口,00:00,1
500106022,500106078,捷運中正紀念堂站(3號出口),徐州杭州路口,00:00,9
500106025,500106053,螢橋國小,寶慶博愛路口,00:00,7
500106026,500106077,古亭智慧圖書館,林森徐州路口,00:00,5
500106028,500106022,中華路二段409巷口,捷運中正紀念堂站(3號出口),00:00,11
500106046,500106084,林森仁愛路口,捷運西門站(5號出口),00:00,8
500106047,500106044,中正運動中心,濟南紹興路口,00:00,10
500106050,500106064,捷運小南門站(1號出口),師大水源路口,00:00,3
500106055,500106051,臺北市立大學(博愛校區),延平南路133巷口,00:00,6
500106055,500106057,臺北市立大學(博愛校區),市民金山路口,00:00,20
500106060,500106017,中華漢口街口,南昌公園,00:00,20
500106060,500106126,中華漢口街口,捷運善導寺站(5號出口),00:00,10
500106072,500106040,捷運中正紀念堂站(5號出口),介壽公園,00:00,8
500106072,500106047,捷運中正紀念堂站(5號出口),中正運動中心,00:00,10
500106077,500106109,林森徐州路口,立法院台北會館,00:00,3
500106079,500106050,捷運中正紀念堂站(6號出口),捷運小南門站(1號出口),00:00,9
500106079,500106052,捷運中正紀念堂站(6號出口),捷運西門站(2號出口),00:00,14
500106080,500106132,捷運臺北車站(M2出口),貴陽博愛路口,00:00,15
500106086,500106063,臺北市第一女子高級中學,寶藏巖觀音亭,00:00,3
500106090,500106021,自來水園區,金華杭州南路口,00:00,6
500106091,500106006,仁愛林森路口,捷運古亭站(2號出口),00:00,15
500106096,500106086,龍興里活動中心,臺北市第一女子高級中學,00:00,7
500106097,500106054,植物園,法務部,00:00,5
500106105,500106067,臺大醫院兒童醫院,臺北轉運站,00:00,13
500106106,500106055,林森濟南路口(東北側),臺北市立大學(博愛校區),00:00,3
500106107,500106085,仁愛紹興街口(南側),弘道國中,00:00,8
500106108,500106071,中華南海路口,中山青島路口,00:00,4
500106109,500106072,立法院台北會館,捷運中正紀念堂站(5號出口),00:00,12
500106112,500106030,忠孝西重慶南路口,南海和平路口西南側,00:00,3
500106116,500106099,重慶南詔安街口,林森北平路口,00:00,5
500106118,500106142,捷運中正紀念堂站(2號出口),愛國東羅斯福路口,00:00,10
500106121,500106090,泉州寧波西街口,自來水園區,00:00,13
500106122,500106070,和平西路二段98巷口,光華商場,00:00,9
500106124,500106092,幸安市場,捷運西門站(3號出口),00:00,9
500106125,500106038,龍口市場,南門國中,00:00,6
500106125,500106056,龍口市場,國家圖書館,00:00,6
500106126,500106048,捷運善導寺站(5號出口),信義杭州路口,00:00,20
500106127,500106029,青島杭州路口,南機場夜市(中華路二段),00:00,5
500106130,500106106,牯嶺街95巷,林森濟南路口(東北側),00:00,5
500106132,500106018,貴陽博愛路口,和平重慶路口,00:00,8
500106132,500106062,貴陽博愛路口,捷運臺大醫院站(4號出口),00:00,12
500106132,500106100,貴陽博愛路口,北平紹興路口,00:00,17
500106133,500106059,國立臺灣博物館南門館,中山堂,00:00,7
500106133,500106073,國立臺灣博物館南門館,北平東杭州北路口,00:00,8
500106136,500106023,公館水岸廣場,捷運中正紀念堂站(4號出口),00:00,7
500106136,500106049,公館水岸廣場,捷運善導寺站(3號出口),00:00,5
500106136,500106083,公館水岸廣場,臺北市國父史蹟館(逸仙公園),00:00,3
500106137,500106043,捷運小南門站(3號出口),捷運善導寺站(1號出口),00:00,17
500106138,500106042,臨沂街停車場,華山文創園區,00:00,6
500106141,500106058,愛國東路116巷口,聯合醫院和平院區,00:00,5
500106141,500106110,愛國東路116巷口,捷運善導寺站(3號出口)(忠孝東路側),00:00,12
500106009,500106123,河堤國小,仁愛新生路口(西南側),00:30,2
500106010,500106012,紀州庵,捷運臺電大樓站(4號出口),00:30,1
500106025,500106015,螢橋國小,捷運古亭站(8號出口),00:30,2
500106027,500106068,永昌公園,莒光大埔街口,00:30,2
500106087,500106016,台北市替代役中心,捷運古亭站(7號出口),00:30,1
500106117,500106019,文光公園,孫立人將軍官邸,00:30,1
