sno,sna,time,hide,release
500101031,臺大男七舍前,00:00,3,0
500101032,臺大男一舍前,00:00,18,0
500101033,臺大男六舍前,00:00,3,0
500101097,臥龍樂業街口,00:00,4,0
500101102,喬治工商,00:00,3,0
500101116,金華公園,00:00,2,0
500101190,敦親公園,00:00,2,0
500101216,和平東路二段18巷口,00:00,3,0
500101231,大安國小,00:00,4,0
500101240,和平東路二段76巷,00:00,6,0
500101259,臺靜農人文會館,00:00,2,0
500101031,臺大男七舍前,00:30,0,1
500101032,臺大男一舍前,00:30,0,3
500101042,基隆長興路口東側,00:30,1,0
500101190,敦親公園,00:30,1,0
500101231,大安國小,00:30,0,2
500101240,和平東路二段76巷,00:30,0,1
500101031,臺大男七舍前,01:00,0,1
500101042,基隆長興路口東側,01:00,1,0
500101190,敦親公園,01:00,2,0
500101240,和平東路二段76巷,01:00,0,1
500101259,臺靜農人文會館,01:00,0,1
500101042,基隆長興路口東側,01:30,1,0
500101163,瑞安街208巷,01:30,2,0
500101033,臺大男六舍前,02:00,3,0
500101216,和平東路二段18巷口,02:00,1,0
500101231,大安國小,02:00,0,1
500101240,和平東路二段76巷,02:00,0,2
500101248,和平溫州街口,02:00,1,0
500101031,臺大男七舍前,02:30,1,0
500101033,臺大男六舍前,02:30,0,2
500101042,基隆長興路口東側,02:30,1,0
500101097,臥龍樂業街口,02:30,1,0
500101116,金華公園,02:30,0,1
500101193,基隆長興路口,02:30,5,0
500101216,和平東路二段18巷口,02:30,0,1
500101231,大安國小,02:30,1,0
500101240,和平東路二段76巷,02:30,2,0
500101031,臺大男七舍前,03:00,0,1
500101033,臺大男六舍前,03:00,0,1
500101193,基隆長興路口,03:00,1,0
500101231,大安國小,03:00,1,0
500101163,瑞安街208巷,03:30,1,0
500101231,大安國小,03:30,0,1
500101032,臺大男一舍前,04:00,0,2
500101097,臥龍樂業街口,04:00,0,1
500101163,瑞安街208巷,04:00,0,1
500101193,基隆長興路口,04:00,2,0
500101231,大安國小,04:00,1,0
500101102,喬治工商,04:30,0,1
500101116,金華公園,04:30,1,0
500101150,捷運忠孝新生站(4號出口),04:30,8,0
500101231,大安國小,04:30,0,1
500101240,和平東路二段76巷,04:30,0,1
500101032,臺大男一舍前,05:00,0,1
500101042,基隆長興路口東側,05:00,0,1
500101116,金華公園,05:00,0,1
500101150,捷運忠孝新生站(4號出口),05:00,0,3
500101190,敦親公園,05:00,0,1
500101216,和平東路二段18巷口,05:00,0,1
500101231,大安國小,05:00,2,0
500101240,和平東路二段76巷,05:00,1,0
500101033,臺大男六舍前,05:30,0,1
500101097,臥龍樂業街口,05:30,0,1
500101150,捷運忠孝新生站(4號出口),05:30,4,0
500101190,敦親公園,05:30,0,2
500101231,大安國小,05:30,0,1
500101240,和平東路二段76巷,05:30,0,2
500101248,和平溫州街口,05:30,2,0
500101251,捷運忠孝復興站(1號出口),05:30,1,0
500101032,臺大男一舍前,06:00,0,1
500101042,基隆長興路口東側,06:00,0,1
500101102,喬治工商,06:00,0,1
500101150,捷運忠孝新生站(4號出口),06:00,0,1
500101163,瑞安街208巷,06:00,0,1
500101190,敦親公園,06:00,0,1
500101193,基隆長興路口,06:00,0,1
500101216,和平東路二段18巷口,06:00,0,1
500101231,大安國小,06:00,0,1
500101248,和平溫州街口,06:00,0,1
500101032,臺大男一舍前,06:30,0,2
500101033,臺大男六舍前,06:30,0,1
