sno,sna,time,hide,release
500103001,延平國宅,00:00,3,0
500103008,臺北孔廟,00:00,2,0
500103020,民權迪化街口,00:00,8,0
500103021,大稻埕公園,00:00,6,0
500103031,大龍公園,00:00,2,0
500103035,重慶民族路口,00:00,2,0
500103038,國順公園,00:00,2,0
500103058,樹德公園_1,00:00,6,0
500103061,雙蓮國小,00:00,1,0
500103063,延平涼州街口,00:00,1,0
500103064,大同行政中心,00:00,1,0
500103066,南京西寧北路口(西北側),00:00,2,0
500103068,哈密街23巷19弄口,00:00,3,0
500103073,民族西大龍街口,00:00,2,0
500103006,樹德公園,00:30,1,0
500103020,民權迪化街口,00:30,0,1
500103021,大稻埕公園,00:30,0,3
500103031,大龍公園,00:30,0,1
500103032,重慶涼州街口,00:30,1,0
500103035,重慶民族路口,00:30,2,0
500103045,歸綏戲曲公園,00:30,1,0
500103048,南京太原路口,00:30,1,0
500103058,樹德公園_1,00:30,1,0
500103062,寧夏涼州街口,00:30,1,0
500103064,大同行政中心,00:30,1,0
500103065,大龍市場,00:30,2,0
500103070,重慶北路三段205巷口,00:30,1,0
500103073,民族西大龍街口,00:30,0,1
500103001,延平國宅,01:00,8,0
500103002,臺北市立圖書館大同分館,01:00,6,0
500103003,合昌宮,01:00,1,0
500103005,重慶酒泉街口,01:00,5,0
500103006,樹德公園,01:00,3,0
500103007,陳天來故居,01:00,1,0
500103008,臺北孔廟,01:00,6,0
500103010,酒泉延平路口,01:00,9,0
500103011,重慶國中,01:00,5,0
500103012,重慶北路三段383巷口,01:00,5,0
500103013,台北數位產業園區,01:00,1,0
500103019,民權延平路口(西北側),01:00,4,0
500103020,民權迪化街口,01:00,9,0
500103021,大稻埕公園,01:00,7,0
500103022,大龍老人住宅,01:00,3,0
500103024,捷運大橋頭站(2號出口),01:00,7,0
500103025,捷運大橋頭站(1A出口),01:00,3,0
500103028,捷運北門站(3號出口),01:00,2,0
500103029,朝陽公園,01:00,3,0
500103030,永樂市場,01:00,3,0
500103031,大龍公園,01:00,7,0
500103032,重慶涼州街口,01:00,1,0
500103034,圓環站,01:00,2,0
500103035,重慶民族路口,01:00,3,0
500103038,國順公園,01:00,1,0
500103039,聯合醫院中興院區,01:00,3,0
500103040,蔣渭水紀念公園,01:00,10,0
500103041,迪化休閒運動公園,01:00,1,0
500103043,重慶保安街口(家樂福重慶店),01:00,4,0
500103045,歸綏戲曲公園,01:00,5,0
500103046,民權國中(民權西路),01:00,1,0
500103047,承德民權路口,01:00,1,0
500103048,南京太原路口,01:00,1,0
500103050,太原五原路口,01:00,6,0
500103056,大同16號廣場,01:00,2,0
500103058,樹德公園_1,01:00,3,0
500103061,雙蓮國小,01:00,3,0
500103062,寧夏涼州街口,01:00,4,0
500103063,延平涼州街口,01:00,1,0
500103064,大同行政中心,01:00,2,0
500103065,大龍市場,01:00,1,0
500103068,哈密街23巷19弄口,01:00,5,0
500103070,重慶北路三段205巷口,01:00,3,0
500103072,酒泉庫倫街口,01:00,2,0
500103073,民族西大龍街口,01:00,4,0
500103074,承德路三段324巷口,01:00,1,0
500103076,玉泉公園(忠孝西路),01:00,1,0
500103006,樹德公園,01:30,0,2
500103007,陳天來故居,01:30,1,0
500103011,重慶國中,01:30,1,0
500103021,大稻埕公園,01:30,0,1
500103028,捷運北門站(3號出口),01:30,2,0
500103030,永樂市場,01:30,1,0
500103041,迪化休閒運動公園,01:30,1,0
500103045,歸綏戲曲公園,01:30,0,1
500103047,承德民權路口,01:30,1,0
500103050,太原五原路口,01:30,0,1
500103058,樹德公園_1,01:30,1,0
500103069,民權西路160巷口,01:30,1,0
500103072,酒泉庫倫街口,01:30,2,0
500103002,臺北市立圖書館大同分館,02:00,1,0
500103005,重慶酒泉街口,02:00,0,1
500103006,樹德公園,02:00,1,0
500103008,臺北孔廟,02:00,1,0
500103010,酒泉延平路口,02:00,0,2
500103011,重慶國中,02:00,0,3
500103012,重慶北路三段383巷口,02:00,0,1
500103019,民權延平路口(西北側),02:00,2,0
500103021,大稻埕公園,02:00,1,0
500103022,大龍老人住宅,02:00,0,1
500103024,捷運大橋頭站(2號出口),02:00,2,0
500103028,捷運北門站(3號出口),02:00,0,2
500103029,朝陽公園,02:00,0,1
500103031,大龍公園,02:00,1,0
500103032,重慶涼州街口,02:00,1,0
500103034,圓環站,02:00,0,1
500103035,重慶民族路口,02:00,2,0
500103039,聯合醫院中興院區,02:00,5,0
500103043,重慶保安街口(家樂福重慶店),02:00,0,1
500103044,大稻埕碼頭,02:00,1,0
500103045,歸綏戲曲公園,02:00,0,1
500103047,承德民權路口,02:00,2,0
500103048,南京太原路口,02:00,6,0
500103050,太原五原路口,02:00,5,0
500103053,捷運中山站(5號出口),02:00,2,0
500103054,重慶長安路口,02:00,3,0
500103058,樹德公園_1,02:00,0,2
500103061,雙蓮國小,02:00,1,0
500103063,延平涼州街口,02:00,0,1
500103064,大同行政中心,02:00,0,1
500103065,大龍市場,02:00,1,0
500103066,南京西寧北路口(西北側),02:00,2,0
500103068,哈密街23巷19弄口,02:00,0,1
500103070,重慶北路三段205巷口,02:00,0,2
500103071,承德路二段91巷口,02:00,1,0
500103072,酒泉庫倫街口,02:00,1,0
500103073,民族西大龍街口,02:00,0,1
500103002,臺北市立圖書館大同分館,02:30,2,0
500103005,重慶酒泉街口,02:30,2,0
500103006,樹德公園,02:30,0,1
500103010,酒泉延平路口,02:30,3,0
500103011,重慶國中,02:30,2,0
500103012,重慶北路三段383巷口,02:30,1,0
500103019,民權延平路口(西北側),02:30,0,2
500103021,大稻埕公園,02:30,0,1
500103022,大龍老人住宅,02:30,1,0
500103024,捷運大橋頭站(2號出口),02:30,0,2
500103025,捷運大橋頭站(1A出口),02:30,2,0
500103028,捷運北門站(3號出口),02:30,1,0
500103030,永樂市場,02:30,1,0
500103032,重慶涼州街口,02:30,0,1
500103035,重慶民族路口,02:30,0,1
500103039,聯合醫院中興院區,02:30,0,4
500103043,重慶保安街口(家樂福重慶店),02:30,1,0
500103045,歸綏戲曲公園,02:30,1,0
500103046,民權國中(民權西路),02:30,1,0
500103047,承德民權路口,02:30,0,2
500103048,南京太原路口,02:30,0,3
500103050,太原五原路口,02:30,0,5
500103053,捷運中山站(5號出口),02:30,0,1
500103054,重慶長安路口,02:30,0,1
500103058,樹德公園_1,02:30,2,0
500103060,成淵高中,02:30,1,0
500103061,雙蓮國小,02:30,0,1
500103064,大同行政中心,02:30,1,0
500103065,大龍市場,02:30,0,1
500103066,南京西寧北路口(西北側),02:30,0,1
500103068,哈密街23巷19弄口,02:30,1,0
500103070,重慶北路三段205巷口,02:30,2,0
500103072,酒泉庫倫街口,02:30,0,1
500103073,民族西大龍街口,02:30,1,0
500103074,承德路三段324巷口,02:30,1,0
500103002,臺北市立圖書館大同分館,03:00,2,0
500103003,合昌宮,03:00,1,0
500103006,樹德公園,03:00,1,0
500103013,台北數位產業園區,03:00,1,0
500103021,大稻埕公園,03:00,0,1
500103024,捷運大橋頭站(2號出口),03:00,0,1
500103025,捷運大橋頭站(1A出口),03:00,0,1
500103028,捷運北門站(3號出口),03:00,5,0
500103030,永樂市場,03:00,0,2
500103031,大龍公園,03:00,1,0
500103034,圓環站,03:00,1,0
500103039,聯合醫院中興院區,03:00,0,2
500103040,蔣渭水紀念公園,03:00,2,0
500103041,迪化休閒運動公園,03:00,0,1
500103043,重慶保安街口(家樂福重慶店),03:00,1,0
500103045,歸綏戲曲公園,03:00,2,0
500103047,承德民權路口,03:00,0,1
500103048,南京太原路口,03:00,0,2
500103056,大同16號廣場,03:00,1,0
500103064,大同行政中心,03:00,1,0
500103066,南京西寧北路口(西北側),03:00,0,1
500103068,哈密街23巷19弄口,03:00,1,0
500103070,重慶北路三段205巷口,03:00,1,0
500103073,民族西大龍街口,03:00,1,0
500103002,臺北市立圖書館大同分館,03:30,2,0
500103010,酒泉延平路口,03:30,0,5
500103011,重慶國中,03:30,0,2
500103019,民權延平路口(西北側),03:30,1,0
500103024,捷運大橋頭站(2號出口),03:30,2,0
500103028,捷運北門站(3號出口),03:30,0,3
500103031,大龍公園,03:30,1,0
500103034,圓環站,03:30,2,0
