sno,sna,time,hide,release
500112003,嘉興街175巷口,00:00,5,0
500112047,興雅國小(基隆路一段37巷),00:00,2,0
500112095,景勤二號公園(西南側),00:00,2,0
500112003,嘉興街175巷口,00:30,0,1
500112023,仁愛路四段496巷口,00:30,1,0
500112047,興雅國小(基隆路一段37巷),00:30,0,1
500112095,景勤二號公園(西南側),00:30,0,1
500112023,仁愛路四段496巷口,01:00,1,0
500112071,吳興街260巷,01:00,2,0
500112023,仁愛路四段496巷口,02:00,3,0
500112047,興雅國小(基隆路一段37巷),02:00,1,0
500112023,仁愛路四段496巷口,02:30,0,2
500112039,福德國小,02:30,1,0
500112051,永吉松信路口,02:30,3,0
500112095,景勤二號公園(西南側),02:30,2,0
500112023,仁愛路四段496巷口,03:00,0,1
500112047,興雅國小(基隆路一段37巷),03:00,0,1
500112023,仁愛路四段496巷口,04:00,0,1
500112003,嘉興街175巷口,04:30,0,1
500112051,永吉松信路口,04:30,0,1
500112071,吳興街260巷,04:30,0,1
500112003,嘉興街175巷口,05:30,0,1
500112051,永吉松信路口,05:30,0,1
500112003,嘉興街175巷口,06:00,0,1
500112039,福德國小,06:00,2,0
500112095,景勤二號公園(西南側),06:00,0,1
500112039,福德國小,06:30,0,1
500112095,景勤二號公園(西南側),06:30,0,1
500112039,福德國小,07:00,1,0
500112039,福德國小,09:00,0,1
500112103,臺北文化體育園區辦公大樓,10:30,4,0
500112103,臺北文化體育園區辦公大樓,11:30,0,2
500112103,臺北文化體育園區辦公大樓,12:00,0,1
500112103,臺北文化體育園區辦公大樓,13:30,3,0
500112103,臺北文化體育園區辦公大樓,14:00,2,0
500112086,五分埔公園,15:00,1,0
500112103,臺北文化體育園區辦公大樓,15:00,3,0
500112103,臺北文化體育園區辦公大樓,15:30,0,3
500112103,臺北文化體育園區辦公大樓,16:30,0,3
500112103,臺北文化體育園區辦公大樓,17:00,0,1
500112103,臺北文化體育園區辦公大樓,17:30,0,1
500112086,五分埔公園,18:00,4,0
500112068,富台公園,18:30,1,0
500112086,五分埔公園,18:30,0,1
500112086,五分埔公園,19:00,0,2
500112118,光復仁愛路口,19:00,3,0
500112118,光復仁愛路口,19:30,3,0
500112071,吳興街260巷,20:00,4,0
500112084,景平公園,20:00,5,0
500112086,五分埔公園,20:00,0,1
500112004,和平東路三段631巷口,20:30,1,0
500112039,福德國小,20:30,0,1
500112071,吳興街260巷,20:30,0,1
500112084,景平公園,20:30,0,2
500112115,信安街/富陽街44巷口,20:30,1,0
500112004,和平東路三段631巷口,21:00,2,0
500112071,吳興街260巷,21:00,0,2
500112084,景平公園,21:00,1,0
500112118,光復仁愛路口,21:00,0,3
500112002,基隆路二段159巷口,21:30,3,0
500112004,和平東路三段631巷口,21:30,0,1
500112023,仁愛路四段496巷口,21:30,3,0
500112055,基隆光復路口,21:30,3,0
500112071,吳興街260巷,21:30,0,1
500112084,景平公園,21:30,0,1
500112099,廣慈博愛園區(西側),21:30,3,0
500112114,仁愛路四段512巷,21:30,2,0
500112115,信安街/富陽街44巷口,21:30,3,0
500112118,光復仁愛路口,21:30,0,1
500112002,基隆路二段159巷口,22:00,1,0
500112004,和平東路三段631巷口,22:00,1,0
500112022,三張犁,22:00,7,0
500112025,松友公園,22:00,1,0
500112047,興雅國小(基隆路一段37巷),22:00,1,0
500112050,五常公園,22:00,4,0
500112051,永吉松信路口,22:00,4,0
500112055,基隆光復路口,22:00,0,1
500112078,吳興街284巷36弄口,22:00,2,0
500112084,景平公園,22:00,0,1
500112099,廣慈博愛園區(西側),22:00,1,0
500112110,松德路169巷口,22:00,2,0
500112114,仁愛路四段512巷,22:00,2,0
500112118,光復仁愛路口,22:00,0,1
500112004,和平東路三段631巷口,22:30,1,0
500112006,景勤二號公園,22:30,2,0
500112022,三張犁,22:30,4,0
500112025,松友公園,22:30,2,0
500112026,林口公園,22:30,5,0
500112039,福德國小,22:30,2,0
500112040,福德公園,22:30,7,0
500112044,福祥公園,22:30,1,0
500112050,五常公園,22:30,1,0
500112051,永吉松信路口,22:30,1,0
500112053,市民松信路口,22:30,2,0
500112084,景平公園,22:30,0,1
500112099,廣慈博愛園區(西側),22:30,2,0
500112110,松德路169巷口,22:30,0,1
500112115,信安街/富陽街44巷口,22:30,0,2
500112004,和平東路三段631巷口,23:00,0,2
500112022,三張犁,23:00,0,3
500112023,仁愛路四段496巷口,23:00,2,0
500112026,林口公園,23:00,0,2
500112040,福德公園,23:00,3,0
500112045,吳興公車總站,23:00,2,0
500112050,五常公園,23:00,1,0
500112051,永吉松信路口,23:00,0,1
500112053,市民松信路口,23:00,1,0
500112067,松德虎林街口,23:00,2,0
500112072,松山家商(林口街),23:00,4,0
500112080,福德國小公車站,23:00,4,0
500112095,景勤二號公園(西南側),23:00,1,0
500112099,廣慈博愛園區(西側),23:00,0,3
500112115,信安街/富陽街44巷口,23:00,0,1
500112022,三張犁,23:30,2,0
500112039,福德國小,23:30,1,0
500112045,吳興公車總站,23:30,0,1
500112047,興雅國小(基隆路一段37巷),23:30,0,1
500112050,五常公園,23:30,2,0
500112055,基隆光復路口,23:30,0,1
500112067,松德虎林街口,23:30,0,1
500112072,松山家商(林口街),23:30,1,0
