sno,sna,time,hide,release
500106120,螢橋公園,00:00,2,0
500106128,詔安街37巷口,00:00,1,0
500106128,詔安街37巷口,02:00,1,0
500106128,詔安街37巷口,02:30,0,1
500106120,螢橋公園,06:00,0,1
500106006,捷運古亭站(2號出口),07:00,2,0
500106006,捷運古亭站(2號出口),09:00,0,1
500106006,捷運古亭站(2號出口),09:30,10,0
500106006,捷運古亭站(2號出口),10:00,0,3
500106006,捷運古亭站(2號出口),10:30,0,4
500106006,捷運古亭站(2號出口),11:30,0,2
500106006,捷運古亭站(2號出口),12:00,0,1
500106014,牯嶺公園,17:30,6,0
500106014,牯嶺公園,18:00,0,1
500106120,螢橋公園,18:00,1,0
500106014,牯嶺公園,18:30,0,2
500106067,臺北轉運站,18:30,5,0
500106136,公館水岸廣場,18:30,3,0
500106014,牯嶺公園,19:00,0,1
500106067,臺北轉運站,19:00,2,0
500106111,國家音樂廳,19:00,2,0
500106120,螢橋公園,19:00,0,1
500106136,公館水岸廣場,19:00,1,0
500106067,臺北轉運站,19:30,0,3
500106090,自來水園區,19:30,1,0
500106111,國家音樂廳,19:30,1,0
500106136,公館水岸廣場,19:30,3,0
500106067,臺北轉運站,20:00,0,2
500106111,國家音樂廳,20:00,0,1
500106120,螢橋公園,20:00,1,0
500106014,牯嶺公園,20:30,0,1
500106096,龍興里活動中心,20:30,3,0
500106120,螢橋公園,20:30,0,1
500106136,公館水岸廣場,20:30,0,1
500106111,國家音樂廳,21:00,0,1
500106123,仁愛新生路口(西南側),21:00,1,0
500106136,公館水岸廣場,21:00,3,0
500106067,臺北轉運站,21:30,0,1
500106090,自來水園區,21:30,2,0
500106114,仁愛金山路口(東南側),21:30,1,0
500106123,仁愛新生路口(西南側),21:30,1,0
500106136,公館水岸廣場,21:30,0,3
500106026,古亭智慧圖書館,22:00,1,0
500106087,台北市替代役中心,22:00,1,0
500106090,自來水園區,22:00,0,1
500106093,仁愛金山路口,22:00,1,0
500106096,龍興里活動中心,22:00,1,0
500106113,濟南路二段8巷口,22:00,2,0
500106114,仁愛金山路口(東南側),22:00,1,0
500106115,臺灣文學基地,22:00,1,0
500106116,重慶南詔安街口,22:00,1,0
500106136,公館水岸廣場,22:00,0,3
500106013,羅斯福三段金門街口,22:30,1,0
500106026,古亭智慧圖書館,22:30,1,0
500106087,台北市替代役中心,22:30,1,0
500106090,自來水園區,22:30,0,1
500106095,仁愛杭州路口,22:30,1,0
500106096,龍興里活動中心,22:30,0,2
500106136,公館水岸廣場,22:30,0,1
500106026,古亭智慧圖書館,23:00,0,1
500106123,仁愛新生路口(西南側),23:00,2,0
500106136,公館水岸廣場,23:00,0,1
500106068,莒光大埔街口,23:30,1,0
500106087,台北市替代役中心,23:30,0,1
500106095,仁愛杭州路口,23:30,1,0
500106117,文光公園,23:30,1,0
