mu,alpha,beta,K,H,L,numTruck,pair,X,Y,objective,mean_wait
1.0,0.02,0.01,50,40,25,4,mu_K,1.0,50.0,617.4,10.283333333333333
1.0,0.02,0.01,60,40,25,4,mu_K,1.0,60.0,617.4,10.283333333333333
1.0,0.02,0.01,70,40,25,4,mu_K,1.0,70.0,617.4,10.283333333333333
1.0,0.02,0.01,80,40,25,4,mu_K,1.0,80.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,90,40,25,4,mu_K,1.0,90.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,100,40,25,4,mu_K,1.0,100.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,110,40,25,4,mu_K,1.0,110.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,120,40,25,4,mu_K,1.0,120.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,130,40,25,4,mu_K,1.0,130.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,140,40,25,4,mu_K,1.0,140.0,617.4000000000001,10.283333333333333
1.0,0.02,0.01,150,40,25,4,mu_K,1.0,150.0,617.4000000000001,10.283333333333333
1.25,0.02,0.01,50,40,25,4,mu_K,1.25,50.0,494.00000000000006,8.226666666666667
1.25,0.02,0.01,60,40,25,4,mu_K,1.25,60.0,494.00000000000006,8.226666666666667
1.25,0.02,0.01,70,40,25,4,mu_K,1.25,70.0,494.0,8.226666666666667
1.25,0.02,0.01,80,40,25,4,mu_K,1.25,80.0,494.0,8.226666666666667
1.25,0.02,0.01,90,40,25,4,mu_K,1.25,90.0,494.0,8.226666666666667
1.25,0.02,0.01,100,40,25,4,mu_K,1.25,100.0,494.0,8.226666666666667
1.25,0.02,0.01,110,40,25,4,mu_K,1.25,110.0,494.0,8.226666666666667
1.25,0.02,0.01,120,40,25,4,mu_K,1.25,120.0,494.0,8.226666666666667
1.25,0.02,0.01,130,40,25,4,mu_K,1.25,130.0,494.0,8.226666666666667
1.25,0.02,0.01,140,40,25,4,mu_K,1.25,140.0,494.0,8.226666666666667
1.25,0.02,0.01,150,40,25,4,mu_K,1.25,150.0,494.0,8.226666666666667
1.5,0.02,0.01,50,40,25,4,mu_K,1.5,50.0,411.7333333333334,6.855555555555555
1.5,0.02,0.01,60,40,25,4,mu_K,1.5,60.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,70,40,25,4,mu_K,1.5,70.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,80,40,25,4,mu_K,1.5,80.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,90,40,25,4,mu_K,1.5,90.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,100,40,25,4,mu_K,1.5,100.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,110,40,25,4,mu_K,1.5,110.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,120,40,25,4,mu_K,1.5,120.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,130,40,25,4,mu_K,1.5,130.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,140,40,25,4,mu_K,1.5,140.0,411.73333333333335,6.855555555555555
1.5,0.02,0.01,150,40,25,4,mu_K,1.5,150.0,411.73333333333335,6.855555555555555
1.75,0.02,0.01,50,40,25,4,mu_K,1.75,50.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,60,40,25,4,mu_K,1.75,60.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,70,40,25,4,mu_K,1.75,70.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,80,40,25,4,mu_K,1.75,80.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,90,40,25,4,mu_K,1.75,90.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,100,40,25,4,mu_K,1.75,100.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,110,40,25,4,mu_K,1.75,110.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,120,40,25,4,mu_K,1.75,120.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,130,40,25,4,mu_K,1.75,130.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,140,40,25,4,mu_K,1.75,140.0,352.97142857142853,5.876190476190476
1.75,0.02,0.01,150,40,25,4,mu_K,1.75,150.0,352.97142857142853,5.876190476190476
2.0,0.02,0.01,50,40,25,4,mu_K,2.0,50.0,308.9,5.141666666666667
2.0,0.02,0.01,60,40,25,4,mu_K,2.0,60.0,308.9,5.141666666666667
2.0,0.02,0.01,70,40,25,4,mu_K,2.0,70.0,308.9,5.141666666666667
2.0,0.02,0.01,80,40,25,4,mu_K,2.0,80.0,308.9,5.141666666666667
2.0,0.02,0.01,90,40,25,4,mu_K,2.0,90.0,308.9,5.141666666666667
2.0,0.02,0.01,100,40,25,4,mu_K,2.0,100.0,308.9,5.141666666666667
2.0,0.02,0.01,110,40,25,4,mu_K,2.0,110.0,308.9,5.141666666666667
2.0,0.02,0.01,120,40,25,4,mu_K,2.0,120.0,308.9,5.141666666666667
2.0,0.02,0.01,130,40,25,4,mu_K,2.0,130.0,308.9,5.141666666666667
2.0,0.02,0.01,140,40,25,4,mu_K,2.0,140.0,308.9,5.141666666666667
2.0,0.02,0.01,150,40,25,4,mu_K,2.0,150.0,308.9,5.141666666666667
2.25,0.02,0.01,50,40,25,4,mu_K,2.25,50.0,274.6222222222222,4.57037037037037
2.25,0.02,0.01,60,40,25,4,mu_K,2.25,60.0,274.62222222222226,4.57037037037037
2.25,0.02,0.01,70,40,25,4,mu_K,2.25,70.0,274.62222222222226,4.57037037037037
2.25,0.02,0.01,80,40,25,4,mu_K,2.25,80.0,274.6222222222222,4.57037037037037
2.25,0.02,0.01,90,40,25,4,mu_K,2.25,90.0,274.6222222222222,4.57037037037037
2.25,0.02,0.01,100,40,25,4,mu_K,2.25,100.0,274.6222222222222,4.57037037037037
2.25,0.02,0.01,110,40,25,4,mu_K,2.25,110.0,274.6222222222222,4.57037037037037
